station north_cm_per_year east_cm_per_year up_mm_per_year years lat lon alt cm_per_year angle_from_east rel_mm_north_alon rel_mm_east_alon rel_mm_per_year_alon rel_angle_from_east_alon rel_up_mm_per_year_alon rel_mm_north_bshm rel_mm_east_bshm rel_mm_per_year_bshm rel_angle_from_east_bshm rel_up_mm_per_year_bshm rel_mm_north_csar rel_mm_east_csar rel_mm_per_year_csar rel_angle_from_east_csar rel_up_mm_per_year_csar rel_mm_north_drag rel_mm_east_drag rel_mm_per_year_drag rel_angle_from_east_drag rel_up_mm_per_year_drag rel_mm_north_dsea rel_mm_east_dsea rel_mm_per_year_dsea rel_angle_from_east_dsea rel_up_mm_per_year_dsea rel_mm_north_elat rel_mm_east_elat rel_mm_per_year_elat rel_angle_from_east_elat rel_up_mm_per_year_elat rel_mm_north_elro rel_mm_east_elro rel_mm_per_year_elro rel_angle_from_east_elro rel_up_mm_per_year_elro rel_mm_north_gilb rel_mm_east_gilb rel_mm_per_year_gilb rel_angle_from_east_gilb rel_up_mm_per_year_gilb rel_mm_north_hrmn rel_mm_east_hrmn rel_mm_per_year_hrmn rel_angle_from_east_hrmn rel_up_mm_per_year_hrmn rel_mm_north_jslm rel_mm_east_jslm rel_mm_per_year_jslm rel_angle_from_east_jslm rel_up_mm_per_year_jslm rel_mm_north_kabr rel_mm_east_kabr rel_mm_per_year_kabr rel_angle_from_east_kabr rel_up_mm_per_year_kabr rel_mm_north_katz rel_mm_east_katz rel_mm_per_year_katz rel_angle_from_east_katz rel_up_mm_per_year_katz rel_mm_north_klhv rel_mm_east_klhv rel_mm_per_year_klhv rel_angle_from_east_klhv rel_up_mm_per_year_klhv rel_mm_north_lhav rel_mm_east_lhav rel_mm_per_year_lhav rel_angle_from_east_lhav rel_up_mm_per_year_lhav rel_mm_north_mrav rel_mm_east_mrav rel_mm_per_year_mrav rel_angle_from_east_mrav rel_up_mm_per_year_mrav rel_mm_north_nizn rel_mm_east_nizn rel_mm_per_year_nizn rel_angle_from_east_nizn rel_up_mm_per_year_nizn rel_mm_north_nrif rel_mm_east_nrif rel_mm_per_year_nrif rel_angle_from_east_nrif rel_up_mm_per_year_nrif rel_mm_north_nzrt rel_mm_east_nzrt rel_mm_per_year_nzrt rel_angle_from_east_nzrt rel_up_mm_per_year_nzrt rel_mm_north_ramo rel_mm_east_ramo rel_mm_per_year_ramo rel_angle_from_east_ramo rel_up_mm_per_year_ramo rel_mm_north_slom rel_mm_east_slom rel_mm_per_year_slom rel_angle_from_east_slom rel_up_mm_per_year_slom rel_mm_north_spir rel_mm_east_spir rel_mm_per_year_spir rel_angle_from_east_spir rel_up_mm_per_year_spir rel_mm_north_tela rel_mm_east_tela rel_mm_per_year_tela rel_angle_from_east_tela rel_up_mm_per_year_tela rel_mm_north_yosh rel_mm_east_yosh rel_mm_per_year_yosh rel_angle_from_east_yosh rel_up_mm_per_year_yosh rel_mm_north_yrcm rel_mm_east_yrcm rel_mm_per_year_yrcm rel_angle_from_east_yrcm rel_up_mm_per_year_yrcm
alon 1.6506392601038988 2.2524783505902355 0.995541031996518 13.946898293599459 31.70793635797241 34.60664520844097 55.67646178230643 2.792538036781962 36.23434402012153 0.0 0.0 0.0 0.0 0.0 -2.7896648242988986 1.1702404933257249 3.0251764649603237 -67.24236820822743 0.41504676977306476 -2.137057867579384 2.5275623327589702 3.3099226086669926 -40.21457135584167 0.28785029161353304 -8.26318051485524 -5.114355646923885 9.717859121447765 -121.75473480139625 -2.3370939317580315 -21.30302372870254 -17.45201479370806 27.53891138635419 -129.32526404685052 1.4762686940237966 -9.877178422535483 -34.464006469096645 35.85144900129611 -164.0080136255728 1.5394120260310293 -23.490024480107795 2.5763485287013665 23.630887029847297 -83.74090762695629 0.5591124244490658 -7.794813495007835 4.6832816316093595 9.093527602802219 -59.00170032613801 -0.6499083473754387 -23.450573314031043 6.370915613908057 24.30057518900082 -74.80105606484155 0.7147783731720481 -6.6647709089106 -6.1579432918955845 9.074108047321392 -132.7365185991945 -0.4518911309965762 -3.49034544106519 0.6450186222354493 3.549445072260603 -79.52981799382648 -0.3348186875520335 -24.8382694132713 1.7049310385818472 24.89671498998549 -86.07330267253442 1.5162120464469315 -4.052982293400831 -4.362812602025556 5.954897083158841 -137.1084111043843 -0.7052005926729473 3.226281562463651 -3.06537417828725 4.450327131032407 133.53499537187417 -0.8285530797451494 -8.062225511972576 -8.102279523827072 11.430066215386896 -135.1419728677017 2.368264471154405 -0.6594390096408942 -9.794305289846195 9.816479812954608 -176.14815615755685 0.07426821106408443 -15.263466745195519 -21.718506749831068 26.545563707032994 -144.90098086733676 0.35014524603631314 -7.672842975223593 0.5866710762893135 7.695238935484232 -85.62763100827777 0.09995583697535626 -3.7073332657243663 -9.884085701911394 10.556489478319758 -159.4398834784546 0.230433341663011 -0.4833709032514122 -7.744777739182451 7.759847270368543 -176.42865980116025 -0.5697720939562997 -14.670301424993216 -20.452341748935154 25.1697442759237 -144.34842796841383 -1.1310063640522663 -5.949167145478329 -4.436829776749995 7.421458629723283 -126.7152102206914 -0.4161692977361434 -9.027196166204599 -3.965983503563253 9.859984572689495 -113.71767287957805 -0.09238631295814603 -5.389760472696503 -9.929164561983717 11.29769121776635 -151.50595448263692 -0.367976398953911
bshm 1.6785359083468878 2.2407759456569782 0.5804942622234532 7.997426367413431 32.77898578474987 35.02298479410559 225.0545756854117 2.7997427800147707 36.836400257865094 2.7896648242988986 -1.1702404933257249 3.0251764649603237 112.75763179177258 -0.41504676977306476 0.0 0.0 0.0 0.0 0.0 0.6526069567195147 1.3573218394332454 1.506060561784006 25.678474478394584 -0.12719647815953172 -5.473515690556341 -6.28459614024961 8.33399799980818 -138.94604069358633 -2.752140701531096 -18.513358904403642 -18.622255287033784 26.25895751736385 -135.16801351966464 1.061221924250732 -7.087513598236583 -35.63424696242237 36.332250213606315 -168.7508952646643 1.1243652562579647 -20.700359655808896 1.4061080353756417 20.74806086570474 -86.1140535455496 0.14406565467600108 -5.0051486707089365 3.5130411382836346 6.114979252227485 -54.93554091814025 -1.0649551171485034 -20.660908489732144 5.200675120582332 21.305402163088353 -75.87127386843616 0.2997316033989833 -3.8751060846117014 -7.328183785221309 8.28967579323674 -152.13034311815903 -0.866937900769641 -0.7006806167662916 -0.5252218710902756 0.8756776465021594 -126.854791562623 -0.7498654573250982 -22.0486045889724 0.5346905452561224 22.05508690302627 -88.61081874284507 1.1011652766738667 -1.2633174691019322 -5.533053095351281 5.675442501137202 -167.13858356260937 -1.120247362446012 6.01594638676255 -4.235614671612975 7.357448102078904 125.14801882784595 -1.2435998495182141 -5.2725606876736775 -9.272520017152797 10.666748505224131 -150.3764788036225 1.9532177013813405 2.1302258146580044 -10.96454578317192 11.169562491553037 169.0053676455164 -0.34077855870898033 -12.473801920896621 -22.888747243156793 26.06703828061182 -151.41070701823708 -0.06490152373675162 -4.883178150924694 -0.5835694170364114 4.91792457426591 -96.81487326763805 -0.3150909327977085 -0.9176684414254677 -11.054326195237119 11.09235065254853 -175.25450534532865 -0.18461342811005377 2.3062939210474864 -8.915018232508176 9.208503772938023 165.49570232687756 -0.9848188637293644 -11.880636600694316 -21.62258224226088 24.67155424494154 -151.2131844505336 -1.5460531338253312 -3.1595023211794304 -5.60707027007572 6.435968608617138 -150.5993749057495 -0.8312160675092082 -6.2375313419057 -5.136223996888978 8.080073897401812 -129.4693588568213 -0.5074330827312108 -2.6000956483976045 -11.099405055309441 11.399881138092843 -166.81588483446163 -0.7830231687269757
csar 1.6720098387796927 2.227202727262646 0.707690740382985 13.771672245152194 32.488254207985385 34.890185339456586 36.59235904365778 2.7849683821010003 36.896359641221906 2.137057867579384 -2.5275623327589702 3.3099226086669926 139.78542864415834 -0.28785029161353304 -0.6526069567195147 -1.3573218394332454 1.506060561784006 -154.32152552160542 0.12719647815953172 0.0 0.0 0.0 0.0 0.0 -6.126122647275856 -7.641917979682855 9.794298805818935 -141.2826883811254 -2.6249442233715645 -19.16596586112316 -19.979577126467028 27.686056951869887 -136.1906791246104 1.1884184024102635 -7.740120554956098 -36.991568801855614 37.79266633392875 -168.18192585150948 1.2515617344174963 -21.352966612528412 0.048786195942396304 21.353022344592524 -89.86909368084847 0.2712621328355328 -5.657755627428451 2.1557192988503893 6.054529249672044 -69.14214769796322 -0.9377586389889717 -21.31351544645166 3.8433532811490867 21.657269106003483 -79.7780072041746 0.426928081558515 -4.527713041331216 -8.685505624654555 9.7948044054257 -152.46718170227834 -0.7397414226101092 -1.3532875734858063 -1.882543710523521 2.318481847801006 -144.28910893950888 -0.6226689791655665 -22.701211545691912 -0.822631294177123 22.71611163664273 -92.07533798176031 1.2283617548333985 -1.915924425821447 -6.890374934784527 7.151785311890039 -164.46098037881347 -0.9930508842864804 5.363339430043035 -5.59293651104622 7.748957907902727 136.20050085178758 -1.1164033713586825 -5.925167644393192 -10.629841856586042 12.169681569794362 -150.86431880553536 2.080414179540872 1.4776188579384897 -12.321867622605165 12.41014823434196 173.1618346465915 -0.2135820805494486 -13.126408877616136 -24.24606908259004 27.571261777076657 -151.56964022439894 0.0622949544227801 -5.535785107644209 -1.9408912564696568 5.866172144376243 -109.32108104188484 -0.18789445463817678 -1.5702753981449824 -12.411648034670364 12.510586387638114 -172.78946042664936 -0.057416949950522045 1.6536869643279717 -10.272340071941422 10.404597595755531 170.85473491664814 -0.8576223855698327 -12.533243557413831 -22.979904081694123 26.175526464109897 -151.39194156235024 -1.4188566556657993 -3.812109277898945 -6.964392109508966 7.939454301249801 -151.30496290361162 -0.7040195893496765 -6.890138298625215 -6.493545836322223 9.467847870693722 -133.30267760326677 -0.38023660457167907 -3.2527026051171193 -12.456726894742687 12.874397817666715 -165.3656832912433 -0.655826690567444
drag 1.7332710652524512 2.3036219070594743 3.3326349637545496 15.781295988281759 31.593200493844577 35.39207006757251 31.8019854221493 2.882863589614621 36.95821462816557 8.26318051485524 5.114355646923885 9.717859121447765 58.24526519860377 2.3370939317580315 5.473515690556341 6.28459614024961 8.33399799980818 41.05395930641369 2.752140701531096 6.126122647275856 7.641917979682855 9.794298805818935 38.71731161887458 2.6249442233715645 0.0 0.0 0.0 0.0 0.0 -13.039843213847302 -12.337659146784175 17.951471924718227 -133.41505596888248 3.8133626257818283 -1.6139979076802424 -29.349650822172755 29.393995860200125 -176.8523571677247 3.8765059577890613 -15.226843965252556 7.690704175625251 17.058830788161533 -63.20278262436051 2.8962063562070974 0.46836701984740436 9.797637278533244 9.80882581693574 2.73688839399482 1.687185584382593 -15.187392799175804 11.485271260831942 19.041227795794818 -52.9020728470457 3.0518723049300798 1.5984096059446395 -1.0435876449716996 1.908923372247738 123.14016815755832 1.8852028007614554 4.772835073790049 5.759374269159334 7.479996431406573 39.648788035263294 2.002275244205998 -16.575088898416055 6.819286685505732 17.923064550726554 -67.63686157421363 3.853305978204963 4.210198221454409 0.7515430448983285 4.276749468027431 79.8789955953091 1.6318933390850843 11.48946207731889 2.0489814686366348 11.670735361791273 79.88841675786114 1.5085408520128822 0.20095500288266344 -2.987923876903187 2.994673940072899 176.15232495447248 4.705358402912437 7.603741505214345 -4.67994964292231 8.928539272378655 121.61145961855009 2.411362142822116 -7.00028623034028 -16.60415110290718 18.01948504133416 -157.1397818214263 2.6872391777943445 0.5903375396316468 5.701026723213198 5.731509758300109 5.911870143407304 2.437049768733388 4.555847249130873 -4.769730054987509 6.5959130493711395 136.3138526072575 2.5675272734210424 7.779809611603827 -2.6304220922585664 8.212463575337502 108.68084770477483 1.767321837801732 -6.407120910137976 -15.33798610201127 16.62242509451067 -157.3282936118192 1.2060875677057652 2.3140133693769105 0.6775258701738895 2.4111613754392236 73.68036250565615 1.9209246340218882 -0.764015651349359 1.148372143360632 1.3793036268905687 -33.63594943587536 2.2447076187998856 2.8734200421587364 -4.814808915059832 5.6070426810591645 149.17175562650968 1.9691175328041206
dsea 1.8636694973909242 2.426998498527316 -0.4807276620272786 11.762048502022628 31.036914251142463 35.36882330523556 -360.7933993469924 3.0599976646002833 37.520322169624706 21.30302372870254 17.45201479370806 27.53891138635419 50.67473595314951 -1.4762686940237966 18.513358904403642 18.622255287033784 26.25895751736385 44.83198648033535 -1.061221924250732 19.16596586112316 19.979577126467028 27.686056951869887 43.809320875389595 -1.1884184024102635 13.039843213847302 12.337659146784175 17.951471924718227 46.58494403111752 -3.8133626257818283 0.0 0.0 0.0 0.0 0.0 11.425845306167059 -17.011991675388582 20.492871973541195 146.11331731686712 0.06314333200723282 -2.1870007514052547 20.028363322409426 20.14741446590808 -6.231733055959076 -0.9171562695747308 13.508210233694706 22.13529642531742 25.931507699213416 31.39390391887875 -2.1261770413992354 -2.147549585328501 23.822930407616116 23.919531400668475 -5.151080791584076 -0.7614903208517485 14.63825281979194 11.294071501812475 18.488766770777314 52.34819571093195 -1.9281598250203729 17.81267828763735 18.097033415943507 25.392796739166858 44.546306348880286 -1.8110873815758302 -3.535245684568755 19.156945832289907 19.480414155544835 -10.455798412753916 0.03994335242313479 17.25004143530171 13.089202191682503 21.65389441958125 52.80904563948979 -2.181469286696744 24.529305291166192 14.38664061542081 28.436987292336532 59.60802407835301 -2.304821773768946 13.240798216729965 9.349735269880988 16.209142081955353 54.772907690611625 0.8919957771306086 20.643584719061646 7.657709503861865 22.018131276259844 69.64773334241154 -1.4020004829597121 6.039556983507022 -4.266491956123009 7.394538671796285 125.23832598794748 -1.1261234479874835 13.63018075347895 18.038685869997373 22.609202004691607 37.07499704980942 -1.3763128570484404 17.595690462978176 7.567929091796666 19.154160738789976 66.72739770262682 -1.2458353523607857 20.81965282545113 9.707237054525608 22.97146915208233 65.00254647865428 -2.0460407879800964 6.632722303709326 -3.000326955227095 7.279764212966341 114.3397254718224 -2.607275058076063 15.353856583224212 13.015185016958064 20.12798929361468 49.712661829091914 -1.89243799175994 12.275827562497943 13.486031290144807 18.236473954768474 42.31041817932812 -1.5686550069819427 15.913263256006038 7.522850231724343 17.601852830424043 64.69798368206882 -1.8442450929777077
elat 1.7494110443292537 2.597118415281202 -0.5438709940345114 6.779057749303545 29.509280848125172 34.92060215178213 29.536828906275332 3.1313676029833855 33.96408772592043 9.877178422535483 34.464006469096645 35.85144900129611 15.991986374427198 -1.5394120260310293 7.087513598236583 35.63424696242237 36.332250213606315 11.249104735335719 -1.1243652562579647 7.740120554956098 36.991568801855614 37.79266633392875 11.818074148490533 -1.2515617344174963 1.6139979076802424 29.349650822172755 29.393995860200125 3.147642832275318 -3.8765059577890613 -11.425845306167059 17.011991675388582 20.492871973541195 -33.886682683132875 -0.06314333200723282 0.0 0.0 0.0 0.0 0.0 -13.612846057572314 37.040354997798005 39.4626085826832 -20.179082722145623 -0.9802996015819636 2.082364927527647 39.147288100706 39.202632683674125 3.044869469578479 -2.189320373406468 -13.57339489149556 40.8349220830047 43.03170819762495 -18.38663858969022 -0.8246336528589814 3.212407513624882 28.306063177201057 28.48776534980045 6.474699331169854 -1.9913031570276056 6.386832981470292 35.10902509133209 35.68522493129311 10.310176143766416 -1.874230713583063 -14.961090990735816 36.16893750767849 39.1411073433983 -22.47217646818135 -0.02319997958409803 5.824196129134651 30.101193867071085 30.65947052337377 10.950684183966315 -2.244612618703977 13.103459984999134 31.39863229080939 34.02315054947046 22.65203735620108 -2.367965105776179 1.8149529105629059 26.36172694526957 26.424131047292974 3.938486393822196 0.8288524451233759 9.217739412894588 24.669701179250445 26.335543969273562 20.488009600405007 -1.465143814966945 -5.386288322660038 12.745499719265574 13.836902290202916 -22.909072464794914 -1.1892667799947163 2.2043354473118892 35.05067754538595 35.11992441841096 3.598589531995582 -1.4394561890556732 6.169845156811116 24.57992076718525 25.342444518635734 14.090781263130044 -1.3089786843680185 9.39380751928407 26.719228729914192 28.32244346151705 19.370389291772213 -2.1091841199873294 -4.793123002457733 14.011664720161487 14.808807391107075 -18.88483816424719 -2.670418390083296 3.928011277057153 30.027176692346647 30.283008646864893 7.452838899558507 -1.9555813237671729 0.8499822563308834 30.498022965533387 30.509865201968353 1.5964245510454265 -1.6317983389891755 4.487417949838979 24.534841907112927 24.941840093777397 10.364824691699352 -1.9073884249849404
elro 1.8855395049049768 2.226714865303222 0.43642860754745216 4.996680287754026 33.18200831119413 35.7706491430995 1083.1791495671496 2.9177933984296507 40.25728722947884 23.490024480107795 -2.5763485287013665 23.630887029847297 96.25909237304371 -0.5591124244490658 20.700359655808896 -1.4061080353756417 20.74806086570474 93.8859464544504 -0.14406565467600108 21.352966612528412 -0.048786195942396304 21.353022344592524 90.13090631915153 -0.2712621328355328 15.226843965252556 -7.690704175625251 17.058830788161533 116.79721737563949 -2.8962063562070974 2.1870007514052547 -20.028363322409426 20.14741446590808 173.76826694404093 0.9171562695747308 13.612846057572314 -37.040354997798005 39.4626085826832 159.8209172778544 0.9802996015819636 0.0 0.0 0.0 0.0 0.0 15.695210985099962 2.106933102907993 15.835997441491712 82.35429330842524 -1.2090207718245045 0.03945116607675381 3.7945670852066904 3.794772161624307 0.5956684449351569 0.15566594872298223 16.825253571197194 -8.734291820596951 18.957241659651615 117.43463811651007 -1.011003555445642 19.999679039042604 -1.9313299064659173 20.092715019935206 95.51583807239813 -0.8939311120010993 -1.3482449331635005 -0.8714174901195193 1.6053450849855473 -122.87598859306875 0.9570996219978656 19.437042186706964 -6.939161130726923 20.63856986726594 109.64692291042336 -1.2643130171220132 26.716306042571446 -5.641722706988617 27.305494752208585 101.9240514873496 -1.3876655041942152 15.427798968135221 -10.678628052528438 18.76299757729136 124.68974085569586 1.8091520467053395 22.8305854704669 -12.370653818547561 25.966684594353584 118.4508574851836 -0.4848442133849814 8.226557734912276 -24.294855278532435 25.64987807321275 161.29322313849158 -0.2089671784127527 15.817181504884203 -1.989677452412053 15.941833242230576 97.16970123185585 -0.4591565874737096 19.78269121438343 -12.46043423061276 23.379848008468095 122.2054097270869 -0.32867908278605484 23.006653576856383 -10.321126267883818 25.215704555754137 114.16171221131282 -1.1288845184053655 8.819723055114581 -23.02869027763652 24.659847742275915 159.0437358298974 -1.6901187885013322 17.540857334629468 -7.013178305451362 18.89090643611042 111.79249772467628 -0.9752817221852093 14.462828313903199 -6.5423320322646195 15.873736524770585 114.33985336903856 -0.6514987374072119 18.100264007411294 -12.505513090685083 22.000168517520148 124.6406821217497 -0.9270888234029768
gilb 1.7285873950539772 2.205645534274142 1.6454493793719567 7.677091247595776 32.47933736723085 35.416477655407334 506.81430070847273 2.802300234664901 38.0861690537428 7.794813495007835 -4.6832816316093595 9.093527602802219 120.99829967386201 0.6499083473754387 5.0051486707089365 -3.5130411382836346 6.114979252227485 125.06445908185977 1.0649551171485034 5.657755627428451 -2.1557192988503893 6.054529249672044 110.85785230203679 0.9377586389889717 -0.46836701984740436 -9.797637278533244 9.80882581693574 -177.2631116060052 -1.687185584382593 -13.508210233694706 -22.13529642531742 25.931507699213416 -148.60609608112128 2.1261770413992354 -2.082364927527647 -39.147288100706 39.202632683674125 -176.9551305304215 2.189320373406468 -15.695210985099962 -2.106933102907993 15.835997441491712 -97.64570669157477 1.2090207718245045 0.0 0.0 0.0 0.0 0.0 -15.655759819023206 1.6876339822986974 15.746457505393106 -83.84748077730548 1.3646867205474869 1.1300425860972352 -10.841224923504944 10.899961196647357 174.04922454465623 0.1980172163788625 4.304468053942645 -4.03826300937391 5.902204110354911 133.17239077793928 0.3150896598234052 -17.04345591826346 -2.9783505930275123 17.301732915889588 -99.91236837043246 2.16612039382237 3.7418312016070043 -9.046094233634916 9.789439290639816 157.52802989154708 -0.055292245297508646 11.021095057471486 -7.74865580989661 13.47242380294158 125.11009202442243 -0.17864473236971068 -0.26741201696474093 -12.785561155436431 12.788357331816394 -178.8018244758182 3.0181728185298438 7.135374485366941 -14.477586921455554 16.14044894402651 153.76331213192267 0.7241765584395231 -7.4686532501876846 -26.401788381440426 27.437842683234077 -164.2046210216406 1.0000535934117518 0.12197051978424245 -4.096610555320046 4.098425899007576 178.29460671739054 0.7498641843507949 4.087480229283469 -14.567367333520753 15.129959869560487 164.32632892702884 0.8803416890384497 7.311442591756423 -12.42805937079181 14.41921816522921 149.53164856011134 0.08013625341913899 -6.87548792998538 -25.135623380544516 26.059007981961837 -164.7017825158561 -0.4810980166768277 1.8456463495295061 -9.120111408359355 9.304990196040942 168.55950221295424 0.23373904963929526 -1.2323826711967634 -8.649265135172612 8.736621453787418 -171.89084561104787 0.5575220344172926 2.405053022311332 -14.612446193593076 14.809046687777766 170.65352133316398 0.2819319484215277
hrmn 1.8851449932442093 2.188769194451155 0.28076265882446994 8.780467771412145 33.30830994046249 35.78544937512326 2091.719509098679 2.888681746425533 40.737690657685114 23.450573314031043 -6.370915613908057 24.30057518900082 105.19894393515847 -0.7147783731720481 20.660908489732144 -5.200675120582332 21.305402163088353 104.12872613156385 -0.2997316033989833 21.31351544645166 -3.8433532811490867 21.657269106003483 100.2219927958254 -0.426928081558515 15.187392799175804 -11.485271260831942 19.041227795794818 127.0979271529543 -3.0518723049300798 2.147549585328501 -23.822930407616116 23.919531400668475 174.84891920841594 0.7614903208517485 13.57339489149556 -40.8349220830047 43.03170819762495 161.61336141030978 0.8246336528589814 -0.03945116607675381 -3.7945670852066904 3.794772161624307 -179.40433155506483 -0.15566594872298223 15.655759819023206 -1.6876339822986974 15.746457505393106 96.15251922269452 -1.3646867205474869 0.0 0.0 0.0 0.0 0.0 16.785802405120442 -12.528858905803641 20.946013173520218 126.73751958218338 -1.1666695041686244 19.960227872965852 -5.725896991672608 20.765273730436792 106.00634900215904 -1.0495970607240817 -1.3876960992402543 -4.66598457532621 4.867968007395768 -163.43715796352836 0.8014336732748834 19.397591020630212 -10.733728215933613 22.169336003073326 118.95810974381891 -1.4199789658449955 26.676854876494694 -9.436289792195307 28.296610241225856 109.47999700254869 -1.5433314529171973 15.388347802058465 -14.473195137735129 21.125213030217648 133.24463260332084 1.6534860979823574 22.791134304390148 -16.165220903754253 27.94190705281089 125.34719034870642 -0.6405101621079636 8.187106568835523 -28.089422363739125 29.25823580973394 163.75040124247556 -0.3646331271357349 15.77773033880745 -5.7842445376187435 16.80459042985271 110.13334797603129 -0.6148225361966918 19.743240048306674 -16.25500131581945 25.573826373508375 129.46530421687947 -0.48434503150903707 22.96720241077963 -14.115693353090508 26.95821183639978 121.5749757681249 -1.2845504671283479 8.780271889037827 -26.82325736284321 28.223754356902102 161.87476087101237 -1.8457847372243146 17.501406168552712 -10.807745390658052 20.56955464529909 121.69681635451276 -1.1309476709081916 14.423377147826443 -10.33689911747131 17.74500751516384 125.62828913628117 -0.8071646861301941 18.06081284133454 -16.30008017589177 24.328698572472273 132.06659570819215 -1.0827547721259592
jslm 1.7172869691930048 2.3140577835091913 1.4474321629930942 13.77988596617316 31.771153717379722 35.202452422685894 790.3534455085173 2.881655420063191 36.57950419163022 6.6647709089106 6.1579432918955845 9.074108047321392 47.26348140080551 0.4518911309965762 3.8751060846117014 7.328183785221309 8.28967579323674 27.869656881840957 0.866937900769641 4.527713041331216 8.685505624654555 9.7948044054257 27.532818297721676 0.7397414226101092 -1.5984096059446395 1.0435876449716996 1.908923372247738 -56.859831842441686 -1.8852028007614554 -14.63825281979194 -11.294071501812475 18.488766770777314 -127.65180428906805 1.9281598250203729 -3.212407513624882 -28.306063177201057 28.48776534980045 -173.52530066883014 1.9913031570276056 -16.825253571197194 8.734291820596951 18.957241659651615 -62.56536188348994 1.011003555445642 -1.1300425860972352 10.841224923504944 10.899961196647357 -5.950775455343772 -0.1980172163788625 -16.785802405120442 12.528858905803641 20.946013173520218 -53.26248041781664 1.1666695041686244 0.0 0.0 0.0 0.0 0.0 3.17442546784541 6.802961914131034 7.507147784346791 25.014887161251078 0.1170724434445427 -18.173498504360698 7.862874330477432 19.801536319813202 -66.60398524450655 1.9681031774435076 2.611788615509769 1.795130689870028 3.169216617055338 55.49853828611509 -0.25330946167637114 9.891052471374252 3.0925691136083344 10.363247691429697 72.63745174004256 -0.37666194874857317 -1.397454603061976 -1.9443362319314872 2.3944357895798 -144.29402876395164 2.8201556021509813 6.005331899269706 -3.63636199795061 7.020480026360423 121.19583749307607 0.5261593420606606 -8.59869583628492 -15.560563457935483 17.77832121470924 -151.0751619947405 0.8020363770328893 -1.0080720663129927 6.744614368184898 6.819533141381947 -8.500687150610077 0.5518469679719324 2.9574376431862337 -3.726142410015809 4.757160358139441 141.56098376041743 0.6823244726595872 6.181400005659188 -1.5868344472868667 6.3818296430615895 104.39757106106664 -0.1178809629597235 -8.005530516082615 -14.29439845703957 16.383477838741847 -150.74913728616997 -0.6791152330556902 0.715603763432271 1.7211135151455892 1.8639529173922917 22.576541093587263 0.03572183326043277 -2.3624252572939985 2.1919597883323316 3.2226915474439273 -47.14351548015046 0.35950481803843015 1.2750104362140968 -3.771221270088132 3.9809247016767353 161.3201429947539 0.0839147320426652
