                           N             E             V      SN      SE      SV
AB37 2005.6099         1.633        -4.226         3.819   2.249   1.553   6.744
AB37 2005.9630         1.360        -6.522        -0.475   1.774   1.231   5.345
AB37 2006.7817         3.059        -7.180        -0.886   1.329   0.927   3.995
AB37 2007.6194         4.041        -5.161         3.829   1.229   0.855   3.675
AB37 2008.7830         2.494        -3.772        -2.259   1.220   0.847   3.628
AB37 2009.6372         0.700        -4.255         6.154   1.174   0.814   3.510
AB37 2015.6879        -0.872         3.202         2.561   1.045   0.717   3.128
AB37 2017.2348        -1.421         2.874         2.448   1.146   0.781   3.480
AB37 2018.0671        -5.040         0.010        -1.716   1.449   0.993   4.416
AB37 2018.6092        -1.269         5.144         3.633   1.302   0.895   3.956
AB39 2010.0780        -3.209         0.704         0.479   1.002   0.707   3.250
AB41 2016.9829        -4.706        -0.878        -0.248   0.916   0.638   2.903
AB42 2008.0506         4.103         4.494       -10.331   3.030   1.983   9.343
AB42 2008.9500         6.374         1.849       -11.158   1.748   1.143   5.365
AB42 2010.9541         4.390         3.838        -5.755   1.219   0.837   3.530
AB42 2012.0356         4.527         3.998       -18.467   1.172   0.809   3.310
AB42 2015.9425         1.744         3.630        -1.088   1.217   0.832   3.437
AB43 2009.0568         2.044         0.893        -3.532   1.606   1.056   4.457
AB43 2009.5441        -2.134        -1.432         7.345   1.732   1.141   4.850
AB43 2013.4894        -4.254        -2.273         6.496   1.478   0.979   4.248
AB43 2014.5407        -3.347         3.986         7.984   1.369   0.903   3.967
AB43 2016.5257        -2.046        -0.409         9.876   1.335   0.893   3.940
AB43 2017.5934        -2.402         0.663        10.170   1.349   0.911   3.933
AB43 2018.5818        -1.719        -1.439        10.199   1.298   0.879   3.677
AB43 2019.5838        -1.101        -0.689         6.139   1.331   0.899   3.738
AB44 2008.1451        -0.795         0.677        -9.414   1.815   1.328   5.353
AB44 2011.9945        -2.281        -0.236       -11.705   1.718   1.271   5.185
AB44 2013.1170        -3.913         0.263        -4.692   2.515   1.859   7.477
AB44 2013.4702        -0.854         0.632         9.301   2.435   1.797   7.222
AB44 2015.5263         0.251         0.993         4.021   1.647   1.221   4.939
AB44 2018.5079         1.722        -1.104         9.773   1.645   1.263   5.096
AB46 2010.8720        -0.501         0.103       -24.054   1.744   1.275   6.061
AB46 2011.1732        -3.450         1.404        19.652   1.683   1.231   5.851
AB48 2007.9014         4.426         2.624        -8.132   1.660   1.044   4.984
AB48 2011.8275         3.088         0.461        -5.609   1.512   0.967   4.458
AB48 2013.0128      -135.686       -51.703        25.511   2.447   1.545   7.024
