                           N             E             V      SN      SE      SV
HOBU 1999.9810         4.200         5.105        26.864   2.086   1.419   6.067
HOBU 2000.2984        -5.735        -7.109         5.844   2.003   1.367   5.842
HOBU 2002.4339        -0.735         3.415        -3.363   0.917   0.648   2.674
HOBU 2010.8996         0.292         2.289       -11.815   0.859   0.622   2.451
HOBU 2015.8576         1.429        -0.498        -3.221   0.745   0.535   2.127
HOFN 1999.1677         2.831        -2.859        -5.138   1.108   0.768   3.415
HOFN 2001.1848         0.260        -3.521        -1.365   1.568   1.088   5.061
HOFN 2001.7248        -4.649        -2.434        54.963   2.141   1.473   6.974
HOFN 2002.1793         0.997        -2.951        -1.528   1.742   1.195   5.660
HOFN 2005.5496        -0.032         0.222         8.177   0.971   0.676   3.025
HOFN 2010.5517        -1.567         3.015        10.012   1.015   0.717   3.073
HOFN 2011.6523        -0.062         0.689         6.032   1.080   0.763   3.243
HOFN 2013.3424         5.526        -1.737       142.567  25.250  18.002  75.779
HOFN 2013.3443        -8.009        -2.410      -146.706  25.252  18.003  75.783
HOFN 2014.6530        -9.115        13.358         1.099   0.993   0.697   2.991
HOGS 2002.7515         0.925         4.472         6.292   1.187   0.990   4.287
HOGS 2004.0180       -10.988       -13.120         0.347   1.660   1.385   5.826
HOGS 2004.3669        -1.753        -4.337        -2.845   2.001   1.657   6.954
HOGS 2004.7447        39.228       -25.234        -8.991  10.829   9.142  37.913
HOGS 2004.7502        10.946       -10.731         3.951  11.184   9.449  39.186
HOGS 2004.8159         8.929        -8.038        -4.966   3.898   3.325  13.753
HOGS 2004.9363         5.345        -7.097         1.109   2.867   2.449  10.107
HOGS 2005.1882         4.727        -4.227        -2.462   2.068   1.701   7.157
HOGS 2005.7084         5.998        -5.376        -1.722   1.376   1.102   4.671
HOGS 2007.2252         3.348        -3.274         2.601   0.987   0.812   3.463
HOGS 2013.8535        -1.109         1.760         5.701   1.034   0.800   3.642
HOGS 2017.0267        -1.455         1.373        -6.187   0.904   0.715   3.186
HOGS 2019.5099         0.628        -3.429        -2.365   1.131   0.896   3.989
HOKI 2000.0522         6.562         0.870       -15.986   4.040   3.086  12.653
HOKI 2001.7796        -0.154         0.012         6.520   1.027   0.804   3.152
HOKI 2003.6798         3.050         1.495         2.722   1.255   0.991   3.743
HOKI 2004.9802         4.073         4.937         0.747   1.197   0.937   3.532
HOKI 2009.6537        -0.139        -2.915         3.974   1.128   0.865   3.480
HOKI 2010.6749        -6.519         5.963         3.673   1.599   1.212   4.908
HOKI 2011.1102        -1.694         2.233         4.187   1.405   1.065   4.276
HOKI 2016.8706        -5.783        35.261         3.077   1.451   1.132   4.410
HOKI 2017.2293        -1.680         5.765         4.336   1.538   1.196   4.663
HOKI 2018.2505         2.531         6.502         3.872   1.102   0.850   3.335
HOKI 2019.3292         0.986         3.071        -0.459   1.276   0.979   3.865
HOKI 2019.9372        -5.204         0.032         4.923   1.560   1.199   4.713
HOL3 2001.7439       -78.552        26.307      -192.066  49.273  52.060 183.049
HOL3 2001.7634        83.192       -51.130       178.783  53.286  55.904 198.250
HOL3 2001.7716        -0.567        25.176        21.273  20.349  20.418  76.334
HOL3 2004.9582         0.494        -5.617        -9.684   0.713   0.599   2.419
HOL3 2019.5072        12.929         2.263        -0.849   0.899   0.761   3.014
HOLB 1996.2437         4.775        -1.278        -2.356   1.011   0.704   2.904
HOLB 2002.0619         4.092         1.503       -27.643   1.437   0.971   4.145
HOLB 2002.7296         1.318         2.416         9.103   1.550   1.038   4.504
HOLB 2004.3751         1.378        -6.588        -0.213   1.177   0.793   3.505
HOLB 2009.1061        -0.499        -3.502        -7.031   1.031   0.705   2.999
HOLB 2012.9007        -7.529         6.353         0.677   0.888   0.610   2.511
HOLB 2017.8179         5.558        -4.794        81.760   1.104   0.778   3.073
HOLB 2018.5654        -0.975         4.484       -71.916   1.130   0.801   3.130
HOLC 1995.4004        -2.851         6.012        76.045   1.577   1.359   5.775
HOLC 1999.7864         3.935        -7.726         7.986   1.320   1.156   4.753
HOLC 2002.7515         3.283         4.831         6.954   1.144   0.992   4.149
HOLC 2004.7994         0.774        -2.046       -10.810   1.509   1.309   5.428
HOLM 2004.3751         2.981        -1.018         0.315   0.898   0.646   3.388
HOLP 1995.3814        -7.987       -10.344        17.571   5.105   4.756  20.050
HOLP 1995.8385         0.787         1.702        12.487   1.955   1.790   7.689
HOLP 1996.4764        -0.605        -0.912        -7.489   2.094   1.910   8.277
HOLP 1996.8569         0.127         3.059        12.267   2.112   1.904   8.333
HOLP 1997.4456        -5.516         0.138         2.984   1.835   1.642   7.281
HOLP 1998.0643         4.201        -1.762       -17.987   1.453   1.306   5.742
HOLP 2000.0931        -1.025         2.111        10.691   1.925   1.716   8.077
HOLP 2000.3833        -6.017        -0.185         2.672   2.723   2.364  11.264
HOLP 2000.6544        -7.082         6.607        13.772   2.670   2.265  11.098
HOLP 2001.0705         2.410        -4.986         2.476   2.516   2.167  10.839
HOLP 2001.4264        -7.421         4.106         5.860   2.585   2.230  10.977
HOLP 2001.7905         1.841         2.739         6.147   2.466   2.164  10.409
HOLP 2002.2122        23.768       -12.065       -40.097   2.312   2.078   9.232
HOLP 2002.4860        -2.340         1.023        -7.175   2.185   1.915   7.944
HOLP 2002.8255         4.087         2.421         7.874   1.623   1.408   5.835
HOLP 2004.3806         0.251        -4.260        -7.734   1.023   0.891   3.665
HOLP 2005.9685         1.131        -1.739         9.739   0.990   0.856   3.516
HOLP 2007.8193        -1.042         1.904       -12.247   0.966   0.835   3.440
HOLP 2009.4675        -0.658        -2.112        -5.403   0.960   0.825   3.398
HOLP 2011.2827         2.471        -2.873        12.618   0.934   0.792   3.275
HOLP 2012.7967         2.135         1.595        -5.447   1.165   0.972   4.051
HOLP 2013.4483         0.220         1.112        -8.642   1.202   1.008   4.193
HOPB 1997.6865        -3.935        -1.486        32.171   0.926   0.742   2.986
HOPB 2001.6756        -0.423         1.886         4.736   1.004   0.797   3.268
HOPB 2002.7351        -1.364         3.632         5.760   1.063   0.839   3.461
HOPB 2004.3751        -0.033        -4.251        -4.892   0.894   0.704   2.888
HOPB 2007.3542         0.075         0.657       -25.777   1.556   1.254   6.662
HOPB 2009.6620        -2.441        -1.254         5.542   2.056   1.656   9.064
HOPB 2011.6470        -1.234         0.656        28.061   1.584   1.269   6.710
HOPB 2015.9923         1.432        -0.737        -7.975   0.910   0.719   2.887
HORN 2004.9801         5.256         4.296         1.054   1.214   1.129   4.989
HORN 2009.6841        -2.284       -11.288         3.791   1.313   1.248   5.503
HORN 2016.9090        -3.497         8.484         0.780   0.984   0.922   4.092
HORN 2019.7154        -0.067        -0.190        38.503   1.221   1.119   5.021
HOTK 2002.4011        -3.767         2.733         7.944   1.756   1.407   5.662
HOTK 2002.7515         1.807         4.149         6.046   1.615   1.285   5.186
HOTK 2003.9754         2.198        -3.829        -6.297   1.592   1.275   5.118
HOTK 2004.3258         0.745        -7.220        -5.977   1.740   1.397   5.587
HOTK 2004.9528         2.807        -8.003       -14.535   1.359   1.090   4.341
HOTK 2005.8836         2.602        -6.876        -8.973   1.370   1.079   4.358
HOTK 2006.8633         2.322        -5.535        -1.214   1.348   1.071   4.338
HOTK 2008.3150         1.324        -4.304        -5.764   1.561   1.250   5.371
HOTK 2009.6372         0.798        -5.023        -4.998   1.891   1.544   6.763
HOTK 2010.1574        -0.142        -5.769        -5.644   1.669   1.367   5.876
HOTK 2011.0965         1.015        -3.596        -2.970   1.218   0.956   3.947
HOTK 2012.2382        -3.326         2.070        10.859   1.077   0.843   3.474
HOTK 2013.6398        -3.419         5.934        11.736   1.142   0.904   3.758
HOTK 2017.0294         2.294        -0.734       -10.904   1.212   0.984   4.021
HOUS 1998.6035        -2.233        -4.739       -18.803   1.954   1.850   8.008
HOUS 2003.0226        -4.056        10.576       -76.050   7.127   6.751  27.327
HPIG 2011.8631        -0.064         0.666         5.289   1.136   0.841   3.586
HRAO 1999.3128         0.936         2.121        -3.553   0.868   0.891   3.749
HRAO 2002.4668        -0.085         2.346        -6.292   0.746   0.759   3.297
HRAO 2004.8851        -0.118         5.214        10.850   0.997   1.036   4.436
HRAO 2006.1492        -0.412        -0.397        -9.450   1.048   1.085   4.529
HRAO 2008.1212        11.846        10.903        -8.450   1.041   1.085   4.405
HRAO 2009.0361       -18.217         7.319        -3.026   0.948   0.978   4.017
HRM1 2001.6400         1.915        -1.048        -1.595   0.988   0.710   2.944
HRST 2008.4052        -3.419        -0.780         3.881   1.141   0.851   3.348
HRST 2009.9712         0.259         3.265        11.307   1.068   0.796   3.143
HRST 2013.0869         2.548         1.457        -6.435   1.043   0.778   3.098
HRST 2015.2635         2.387        13.139         0.471   2.123   1.623   6.520
HRST 2018.9459       -18.564       -20.832        -5.975   2.698   2.021   8.102
HRST 2019.2993       -20.808       -18.228       -25.401   2.517   1.798   7.372
HRST 2019.5482        17.292         7.050        12.992   2.841   2.012   8.312
HRST 2019.7344         8.669        13.369        14.563   2.407   1.718   7.003
HRST 2020.2245        -9.675        -7.874       -12.383   2.144   1.547   6.260
HUA2 2003.9945         6.780         5.189         0.640   1.895   2.260   8.324
HUA2 2010.0015        30.516         1.981        44.780   7.307   8.572  32.301
HUA2 2010.1247        -2.441        -1.568       175.668   6.224   7.284  27.793
HUA2 2010.9240         7.281         2.792         4.749   1.567   1.932   6.661
HUA2 2012.0301         4.551         3.362         4.213   1.228   1.495   5.281
HUA2 2012.6857      -256.162      -124.806       204.952   3.343   4.083  14.332
HUA2 2012.7255       -34.822       -26.261         2.583   3.817   4.655  16.362
HUA2 2012.8131       -53.046       -46.278        -8.346   2.779   3.365  11.914
HUA2 2012.9391       -24.320       -12.757         3.647   2.272   2.759   9.788
HUA2 2013.1389       -17.211       -10.490        -0.387   2.061   2.559   8.955
HUA2 2013.3060       -13.463        -8.819         1.786   2.106   2.607   9.189
HUA2 2013.4921        -9.261        -5.389        -0.779   1.994   2.438   8.686
HUA2 2013.7303       -12.006        -5.691        -1.815   1.688   2.050   7.294
HUA2 2014.1848       -13.313       -13.253        10.449   1.692   2.112   7.317
HUA2 2014.9324       -13.959        -4.712         2.338   1.740   2.154   7.497
HUA2 2015.6797        -7.375        -5.793         3.576   1.542   1.857   6.570
HUA2 2015.9726        -2.515        -7.523         2.928   1.524   1.837   6.486
HUA2 2018.1877        -2.052        -8.192        11.317   1.802   2.109   7.658
HUA2 2019.3593         4.252         2.127        -1.385   1.388   1.622   5.890
HUA2 2019.9535        -0.294        -7.105        12.506   1.315   1.555   5.608
HUEG 2005.8371         2.825        -0.963         1.241   0.919   0.692   2.718
HUEG 2007.6715         0.782        -0.463        -5.450   0.962   0.723   2.842
HUEG 2014.4120         1.721        -4.151         2.201   1.421   1.110   4.313
HUEG 2014.8063         0.180         2.730        -1.430   1.405   1.097   4.267
HUEG 2019.8715        -1.584         3.798         2.152   1.148   0.857   3.339
HUGO 2018.4011         1.016        -0.452        -6.500   1.116   0.790   3.646
HUNT 2002.7515         2.228         3.052         3.892   1.150   0.946   4.065
HUNT 2003.9754        -7.271        -9.550        -3.743   1.642   1.362   5.769
HUNT 2004.3258        -2.643        -3.902        -2.703   1.963   1.623   6.895
HUNT 2004.7447       -39.796        45.678        -1.075   7.779   6.575  27.550
HUNT 2004.7556       -16.013        13.022         3.333   8.247   6.980  29.237
HUNT 2004.8268       -11.711        11.876        -3.766   3.662   3.120  13.051
HUNT 2004.9911        -9.224         5.488        -2.220   2.656   2.251   9.396
HUNT 2005.2156        -6.122         5.031        -0.183   2.321   1.894   8.046
HUNT 2005.5359        -6.237         6.870        -1.122   1.758   1.405   6.038
HUNT 2006.4750        -5.945         4.857        -1.521   1.217   1.003   4.251
HUNT 2007.4497        -2.798         3.864        -2.848   1.039   0.866   3.658
HUNT 2009.5359        -3.012         0.674        -4.280   0.932   0.768   3.258
HUNT 2010.9761        -0.549         0.869        -4.243   1.006   0.826   3.517
HUNT 2016.8925         0.799        -1.605        -8.085   0.957   0.802   3.341
HUNT 2018.9733         1.762        -0.058        -5.218   1.248   1.073   4.462
HUNT 2019.5154         0.420        -4.604        -1.728   1.363   1.175   4.904
HURR 2010.1821        -2.531        -1.094        -2.193   1.162   0.929   3.773
HUSB 2002.6694         8.403        -1.049        25.634   1.626   1.166   5.078
HUSB 2003.5756         2.498         0.524         6.708   1.978   1.419   6.053
HUSB 2004.0000       -16.459         5.442        83.107   4.429   3.182  13.623
HUSB 2004.0684       -27.325       -27.575        78.511   4.962   3.601  15.601
HUSB 2004.2218        46.734        16.332      -160.777   2.924   2.160   9.493
HUSB 2005.6345         5.611        -3.155         3.274   1.165   0.829   3.480
HUSB 2016.9911         0.230         4.261        -6.637   1.095   0.795   3.346
HUSB 2019.1567       -16.420         1.368       114.692   2.852   2.151   9.231
HUSB 2019.2663       -12.336       -17.344       109.706   5.047   3.940  17.294
HUSB 2019.3101        28.271        19.710      -200.229  19.358  15.455  73.360
HUSB 2019.3128         1.292         0.537       -28.674  18.909  15.101  71.899
HVLK 2002.3522        10.296        22.514         5.837   1.336   1.152   4.616
HVLK 2004.6543         2.643        -3.609       -11.287   1.432   1.240   4.839
HVLK 2006.6311        -0.745         7.712        -6.135   1.785   1.515   6.223
HVLK 2007.3456        -7.500        11.336        16.154   2.963   2.580  11.828
HVLK 2007.8029         6.862        -8.463       -16.609   3.571   3.122  14.402
HVLK 2007.9617         4.257        -2.744       -11.399   2.922   2.538  11.343
HVLK 2008.3997       -21.047         6.602        22.993   3.430   2.964  14.019
HVLK 2008.5667         6.457        -5.663       -17.979   3.820   3.305  15.679
HVLK 2008.7858        16.426        -7.452       -22.245   2.674   2.332  10.522
HVLK 2009.3744       -26.515        10.686        11.304   2.836   2.551  11.982
HVLK 2009.6537         2.308        -7.561       -25.981   3.872   3.514  16.792
HVLK 2009.8152        18.175        -2.748        16.131   3.310   3.020  14.128
HVLK 2010.6721         7.247         0.467        17.144   1.663   1.518   6.464
HVWY 2002.9243         2.784        -1.835        16.991   2.813   2.112   8.846
HVWY 2005.0513         2.156        -7.253         9.522   1.865   1.371   5.484
HVWY 2005.4949         3.588        -5.068         9.834   2.621   1.888   7.484
HVWY 2005.6564         6.366        -2.825        11.866   2.995   2.161   8.543
HVWY 2005.8480         5.393        -7.595         8.880   2.552   1.847   7.308
HVWY 2006.1821         3.704        -6.116         9.719   2.158   1.561   6.221
HVWY 2006.5517         3.539        -3.575        12.576   2.388   1.755   6.975
HVWY 2006.7762         5.657        -5.785         9.835   2.149   1.594   6.311
HVWY 2007.5072         4.017        -1.014        15.835   2.144   1.579   6.217
HVWY 2007.7372         4.109        -4.157         5.636   2.484   1.841   7.236
HVWY 2008.0055         3.915        -3.892        12.709   2.003   1.483   5.835
HVWY 2008.7091         6.876        -4.528        15.327   1.640   1.185   4.684
HVWY 2009.2266         1.089        -4.014        -1.030   1.606   1.170   4.639
HVWY 2011.1622        -1.737        -0.219       -12.999   1.426   1.043   4.206
HVWY 2012.2628        -1.263         0.180        -8.288   1.398   1.014   4.088
HVWY 2012.9801        -2.678         2.774       -10.619   1.393   1.014   4.083
HVWY 2014.4449         5.679        -4.457        19.573   2.103   1.547   6.199
HVWY 2014.6475         6.440        -3.793        14.608   2.339   1.718   6.859
HVWY 2015.0443         3.666        -1.496         9.919   1.726   1.270   5.032
HVWY 2016.4271        -1.300         5.478         0.826   1.619   1.203   4.732
HVWY 2017.3361        -3.550         6.617       -11.853   1.633   1.214   4.774
HVWY 2018.3764        -2.133         5.242        -8.248   1.515   1.129   4.495
HVWY 2019.3101        -1.735         3.004        -9.450   2.021   1.500   6.023
HVYS 2002.7515         1.645         2.999         4.442   0.917   0.768   3.232
HVYS 2004.3888        -0.869        -3.541        -4.504   1.433   1.199   5.047
HVYS 2004.8214         0.530         1.133        -6.865   1.351   1.130   4.758
HVYS 2009.4675        -1.724        -0.726        -3.161   0.858   0.707   2.993
HVYS 2017.0075         0.517         1.581        -4.356   0.839   0.705   2.931
HVYS 2019.0226         2.200         1.550        -3.617   0.872   0.743   3.043
HW62 2010.2779        -7.881        -0.689        -0.497   1.075   0.904   3.630
HWUT 2012.4983         2.560        -0.591         5.558   0.915   0.713   2.898
HWUT 2016.9281         0.952        -0.617        -5.538   0.777   0.610   2.419
HYDE 2004.9856        -1.097         6.836        -2.225   1.183   1.346   5.043
HYDE 2005.4976        -1.353         1.913        -4.799   1.186   1.343   5.065
HYDE 2007.9124        -8.445        -1.090         0.260   0.875   0.982   3.760
HYDE 2012.2765        -5.031         4.638        -2.157   1.046   1.165   4.450
HYDE 2015.6413         4.307         0.335         3.608   0.885   1.006   3.821
HYDE 2018.5599         2.352        -1.369        -3.494   0.902   1.023   4.022
I40A 2001.6947         0.240         2.151         5.156   1.472   1.262   5.185
I40A 2002.3984        -2.801         0.854         1.409   1.229   1.050   4.302
I40A 2010.2779        -7.662         0.459         2.514   0.774   0.638   2.620
I40A 2012.2355        -2.117         1.010         3.905   0.788   0.648   2.667
I40A 2019.0198         2.254         0.928        -2.443   1.043   0.884   3.568
I40A 2019.7207        -0.470         3.783        -0.866   1.271   1.076   4.330
ICIG 2011.7810         0.730         0.158         6.902   1.159   0.847   3.979
IDOG 2012.2382        -2.946         1.155         2.155   0.988   0.806   3.427
IDOG 2013.8125        -3.795         2.264         8.284   0.978   0.809   3.376
IENG 2009.7851        -1.560         1.679        -1.848   0.824   0.641   2.491
IENG 2019.2827        -6.329        -0.305         9.449   0.900   0.691   2.661
IFR1 2010.0616        -1.918        -3.726        -6.205   1.829   1.638   6.557
IID2 2002.7132         1.718         1.563         9.610   0.960   0.851   3.529
IID2 2004.3669         0.622        -4.221        -3.702   1.240   1.106   4.546
IID2 2004.9582         0.701        -3.877         0.066   1.205   1.070   4.390
IID2 2010.2587       -28.147        37.435        -2.911   2.730   2.335   9.770
IID2 2010.3518        -3.144         7.320         2.879   2.869   2.460  10.272
IID2 2010.9404        -3.352         5.605         0.670   1.241   1.076   4.446
IID2 2012.2957        -4.064         4.679         1.722   0.989   0.844   3.537
IID2 2013.5770        -2.638         2.444         0.137   0.926   0.795   3.325
IID2 2018.2916         1.875        -2.997        -3.932   1.181   1.034   4.249
IID2 2018.8474         3.898        -2.028         0.084   1.481   1.297   5.340
IID2 2019.5592         0.846        -4.175        -2.316   1.352   1.187   4.884
IISC 1994.9266        -6.526       -25.019        -6.468   8.315  10.682  39.441
IISC 1994.9430       -14.454       -30.851        15.012   9.759  12.445  46.574
IISC 1994.9678        21.448        44.637        -9.823   8.138  10.464  39.269
IISC 1995.0638       -46.924       -43.406       -36.501   8.152  10.530  39.658
IISC 1995.0856        51.350        52.252       114.167   8.017  10.474  38.852
IISC 1995.1239       -14.249       -11.970       -38.830   6.740   8.770  32.067
IISC 1995.1759         4.612         8.899      -125.413   5.290   6.804  25.131
IISC 1995.3540        -3.162         1.626        47.512   4.767   6.247  23.054
IISC 1995.6333         7.485         5.111       384.695  15.950  20.766  79.281
IISC 1995.7077       -99.444       822.945       -25.081  16.596  21.823  82.271
IISC 1995.7509        -1.891       -21.752      1285.188   6.081   8.519  29.333
IISC 1999.9973         1.197        -5.454         1.822   0.914   1.132   4.458
IISC 2004.7200         4.215         5.644         0.010   1.518   1.840   7.075
IISC 2004.9856        -4.662         7.726        -3.219   1.750   2.107   8.115
IISC 2005.6235        -0.963         2.540        -5.152   1.088   1.301   5.026
IISC 2012.2793        -4.608         5.864         1.589   0.816   1.001   3.857
IISC 2017.4538         0.841         2.430        -6.699   0.749   0.932   3.652
IMPS 1999.7922        -7.563        16.717        -2.531   4.928   4.200  16.765
IMPS 2000.7283        -1.973         2.902        -8.154   1.356   1.163   4.844
IMPS 2002.7543         0.938         4.866         6.565   1.057   0.908   3.670
IMPS 2004.0520         1.061        -2.842        -8.385   0.953   0.812   3.231
IMPS 2010.2861       -10.665        -0.149         3.002   0.761   0.627   2.541
IMPS 2012.2437        -3.636         0.455         2.869   0.797   0.655   2.652
IND1 2010.0015        17.021         7.137        25.105   3.138   3.746  15.817
IND1 2012.6873      -634.131      -224.594       532.991   4.339   5.268  21.515
IND1 2012.7255       -39.889       -28.396        18.056   5.271   6.370  26.129
IND1 2012.8131       -61.793       -34.090        15.285   4.640   5.509  22.511
IND1 2012.8788       -20.450       -12.638         5.490   4.196   4.919  19.958
IND1 2012.9884       -13.386        -6.922         8.094   3.499   4.167  16.685
IND1 2013.1142       -16.020        -9.243         4.906   3.429   4.276  16.308
IND1 2013.2921       -15.284       -11.970         1.818   2.812   3.562  13.639
IND1 2013.6783       -15.654        -7.080         6.706   2.092   2.562  10.624
IND1 2014.1793       -17.024       -15.783         4.084   1.706   2.078   8.556
IND1 2015.6632       -10.841        -9.458         4.450   1.371   1.672   6.850
IND1 2018.7570         2.295         5.377        61.942   3.928   4.800  22.036
IND1 2018.8528         0.478        -3.061       -52.875   4.006   4.874  22.523
IND1 2019.3593         4.224         2.714       -10.489   1.486   1.685   8.425
INMN 2013.7495         8.030        -4.059         6.197   1.624   1.185   6.739
INMN 2015.2991        10.092         6.573        -4.744   1.737   1.264   7.154
INMN 2015.8001       -10.125        19.044         8.931   2.800   2.040  11.511
INMN 2016.0248         0.172       -23.112        -4.327   2.717   1.971  11.203
INMN 2016.7146         1.978        -6.718        -9.162   1.709   1.216   7.115
INMN 2019.0363        -6.193         0.566       311.350   3.702   2.597  15.331
INVK 2003.3046         1.514         2.583       -19.815   0.947   0.662   3.273
INVK 2020.0082         1.285        -1.965       -20.876   2.023   1.463   7.048
INVK 2020.1999        -2.344         0.258        18.453   2.535   1.830   8.822
IQQE 2003.9644        -1.560         8.734        -0.252   1.195   1.368   5.346
IQQE 2005.4511       -15.749       -50.037        42.135   1.257   1.479   5.663
IQQE 2012.0876         1.036         4.702        -3.196   0.932   1.138   4.312
IQQE 2014.2505        33.673      -297.449       -49.811  14.249  18.522  70.150
IQQE 2014.2532       -34.848      -218.675        52.127  15.143  19.686  74.560
IQQE 2014.2724        -4.464       -28.648        -4.845   5.955   7.722  29.167
IQQE 2014.3299        -1.926       -17.493        -2.078   3.955   5.061  18.968
IQQE 2014.4011        -2.100       -12.450        -5.007   3.481   4.423  16.561
IQQE 2014.4969        -2.371       -12.297        -0.499   2.945   3.723  13.859
IQQE 2014.6502        -1.777       -10.736        -4.389   2.823   3.563  13.264
IQQE 2014.7817        -0.562        -9.412        -1.107   2.728   3.407  12.964
IQQE 2015.0034        -1.731        -8.763         0.395   2.374   2.903  11.410
IQQE 2015.2279        -0.556        -9.403        -1.211   2.072   2.537   9.943
IQQE 2015.7070        -3.778       -13.588        -1.239   1.667   1.994   7.909
IQQE 2016.1807        -1.000        -7.886        -2.121   1.484   1.705   6.984
IQQE 2016.6872        -1.184        -8.592        -2.517   1.213   1.356   5.729
IQQE 2018.1713        -1.678       -11.527        -2.405   1.429   1.615   6.795
IQQE 2019.5510        -2.860        -6.778        -1.603   1.534   1.741   7.299
IQUI 2015.5099         2.226         0.327        13.986   1.936   2.378   8.545
IRKJ 2011.2252        -0.496         3.517         5.392   0.888   0.642   2.639
IRKJ 2015.2224        -0.851         0.127         4.657   0.831   0.589   2.441
IRKJ 2017.6126         0.228        -0.541       -10.235   0.842   0.586   2.443
IRKM 2011.3320        -1.301         5.901         2.482   0.900   0.647   2.606
IRKT 1999.9918         4.096         2.460        -7.613   2.284   1.605   7.532
IRKT 2000.3231        -4.046        -3.882        12.777   2.320   1.627   7.633
IRKT 2011.3565        -0.708         4.427         1.559   1.095   0.771   3.526
ISBA 2011.6040        -0.590        -2.294        34.087   4.247   3.514  15.649
ISBA 2011.7647        -3.054         1.135       -27.663   4.261   3.524  15.696
ISBA 2018.9487         1.933        -0.787        -5.329   0.999   0.848   3.472
ISCO 2019.6851        -1.375         4.583       -19.313   2.142   2.702  11.302
ISLK 2004.8269        -0.450        -6.567       -16.666   1.161   0.956   4.241
ISLK 2010.1355        -2.882        -2.027        -6.848   0.909   0.744   3.317
ISLK 2013.6181        -1.347        -0.141         6.117   0.876   0.707   3.176
ISLK 2017.0075        -0.317        -1.441       -12.401   0.825   0.687   2.945
ISLK 2019.5099         0.904       -36.689       -13.057   0.965   0.809   3.376
ISPA 2015.5072        -3.748        -2.576        -2.542   0.786   0.761   3.360
ISTA 2000.1834        -4.633         3.229         2.018   2.347   1.828   7.224
ISTA 2000.6105        -4.408         5.270         1.648   1.527   1.192   4.744
ISTA 2002.4832        -3.603         4.984        -1.073   0.910   0.702   2.818
ISTA 2004.5585        -1.959         4.090        -0.971   0.851   0.672   2.686
ISTA 2014.8145         1.721        -1.084        -4.165   0.864   0.688   2.756
ISTA 2016.3176         5.619         4.104        -3.040   0.812   0.643   2.585
IUCO 2002.8119        -0.173         2.812         6.403   1.705   1.441   5.788
IUCO 2003.9042         2.604        -0.277        -6.042   1.590   1.347   5.401
IUCO 2008.5270        -4.656        -0.960        -0.912   1.147   0.952   4.017
IVCO 2002.7515         0.655         4.438         5.267   1.272   1.160   4.845
IVCO 2004.3888        -1.049        -6.809        -8.902   1.421   1.286   5.404
JAB1 2000.1615         2.441        -2.475        -6.507   1.223   1.357   5.584
JAB1 2001.2773        -7.978         3.407        -0.347   2.026   2.255   9.278
JAB1 2001.4620        -1.100        -0.319        10.348   1.967   2.205   8.967
JAB1 2007.1446        -3.947         1.241       -19.200   2.043   2.254  10.916
JAMA 2006.4724       -17.436        18.221       -14.471   2.506   2.805  11.408
JAMA 2007.6331       125.659      -656.528        13.222  15.923  19.774  73.681
JAMA 2007.6360       -21.619       238.530       -16.607  16.915  20.855  78.086
JASK 2013.7331        -6.439        -0.570        -2.182   1.965   1.786   7.576
JCUZ 2007.5510       -22.626         4.807        -5.309   4.113   4.697  17.288
JCUZ 2007.6167       -14.405         6.690       -40.455   3.208   3.665  13.571
JCUZ 2007.7481         1.264        -8.037       -36.540   2.498   2.893  10.863
JCUZ 2007.9206         0.985        -2.722       -29.685   2.417   2.813  10.689
JCUZ 2008.0684        -0.486        -3.245       -30.100   2.499   2.908  10.860
JCUZ 2008.2190         0.399        -5.376       -22.065   2.298   2.706   9.835
JCUZ 2008.4079        -0.034        -2.662       -18.631   2.239   2.634   9.394
JCUZ 2008.5777         1.068        -4.688       -22.594   2.093   2.441   8.757
JCUZ 2008.8624         0.986        -3.609       -19.611   2.022   2.371   8.544
JCUZ 2009.0568        -0.353        -7.563       -36.576   1.860   2.170   7.852
JCUZ 2009.5222         1.221        -2.940       -27.456   1.687   1.905   7.056
JCUZ 2010.0917        -5.250         0.800       -32.985   1.613   1.808   6.794
JCUZ 2010.6913         2.883         8.254        -2.397   1.379   1.577   5.913
JCUZ 2011.1814         8.640        22.389        12.266   2.331   2.751   9.928
JCUZ 2011.3250         1.469        20.093         6.489   2.719   3.201  11.463
JCUZ 2011.4743         0.001        12.986         5.955   2.277   2.640   9.487
JCUZ 2011.6851        -5.769        13.870        17.749   1.792   2.059   7.520
JCUZ 2012.2218        -3.660         6.950         3.588   1.811   2.091   7.552
JCUZ 2012.4107       -10.811         3.329        -2.252   1.898   2.181   7.913
JCUZ 2012.8022        -0.746         3.753        11.717   1.349   1.540   5.689
JCUZ 2013.6290        -2.299        -0.005        15.474   1.105   1.255   4.693
JCUZ 2014.5845         1.444        -6.177         9.709   1.091   1.231   4.648
JCUZ 2015.7892        -9.371         0.821        -6.336   1.239   1.363   5.315
JCUZ 2018.3299      -254.110       265.396      -103.139  14.718  16.038  68.287
JCUZ 2018.3326        14.955        13.110      -140.597  16.553  18.038  76.552
JCUZ 2018.3409      -426.509       308.066      -335.474   8.972   9.806  40.768
JCUZ 2018.3600         1.929         2.324       -97.665   6.510   7.204  29.284
JCUZ 2018.3819         1.490        -2.409       -76.474   5.679   6.325  25.632
JCUZ 2018.4175         2.435        -0.326       -69.900   5.146   5.733  23.206
