dates,filenames
2001-07-27,tela2080.01d
2001-08-03,tela2150.01d
2001-08-10,tela2220.01d
2001-08-16,tela2280.01d
2001-08-17,tela2290.01d
2001-08-18,tela2300.01d
2001-08-19,tela2310.01d
2001-08-20,tela2320.01d
2001-08-21,tela2330.01d
2001-10-19,tela2920.01d
2001-10-20,tela2930.01d
2001-11-10,tela3140.01d
2001-12-12,tela3460.01d
2001-12-27,tela3610.01d
2001-12-28,tela3620.01d
2001-12-29,tela3630.01d
2002-02-03,tela0340.02d
2002-02-05,tela0360.02d
2002-03-11,tela0700.02d
2002-03-24,tela0830.02d
2002-03-25,tela0840.02d
2002-03-26,tela0850.02d
2002-03-27,tela0860.02d
2002-03-28,tela0870.02d
2002-03-29,tela0880.02d
2002-03-30,tela0890.02d
2002-03-31,tela0900.02d
2002-04-01,tela0910.02d
2002-04-02,tela0920.02d
2002-04-03,tela0930.02d
2002-04-04,tela0940.02d
2002-04-05,tela0950.02d
2002-04-06,tela0960.02d
2002-04-07,tela0970.02d
2002-04-08,tela0980.02d
2002-04-09,tela0990.02d
2002-04-10,tela1000.02d
2002-04-11,tela1010.02d
2002-04-12,tela1020.02d
2002-04-13,tela1030.02d
2002-04-14,tela1040.02d
2002-04-15,tela1050.02d
2002-04-16,tela1060.02d
2002-04-17,tela1070.02d
2002-04-18,tela1080.02d
2002-04-19,tela1090.02d
2002-04-20,tela1100.02d
2002-04-21,tela1110.02d
2002-04-22,tela1120.02d
2002-04-23,tela1130.02d
2002-04-24,tela1140.02d
2002-04-25,tela1150.02d
2002-04-26,tela1160.02d
2002-04-27,tela1170.02d
2002-04-28,tela1180.02d
2002-04-29,tela1190.02d
2002-04-30,tela1200.02d
2002-05-01,tela1210.02d
2002-05-02,tela1220.02d
2002-05-03,tela1230.02d
2002-05-04,tela1240.02d
2002-05-05,tela1250.02d
2002-05-06,tela1260.02d
2002-05-07,tela1270.02d
2002-05-08,tela1280.02d
2002-05-09,tela1290.02d
2002-05-10,tela1300.02d
2002-05-11,tela1310.02d
2002-05-12,tela1320.02d
2002-05-13,tela1330.02d
2002-05-14,tela1340.02d
2002-05-15,tela1350.02d
2002-05-16,tela1360.02d
2002-05-17,tela1370.02d
2002-05-18,tela1380.02d
2002-05-19,tela1390.02d
2002-05-20,tela1400.02d
2002-05-21,tela1410.02d
2002-05-22,tela1420.02d
2002-05-23,tela1430.02d
2002-05-24,tela1440.02d
2002-05-25,tela1450.02d
2002-05-26,tela1460.02d
2002-05-27,tela1470.02d
2002-05-28,tela1480.02d
2002-05-29,tela1490.02d
2002-05-30,tela1500.02d
2002-05-31,tela1510.02d
2002-06-01,tela1520.02d
2002-06-02,tela1530.02d
2002-06-03,tela1540.02d
2002-06-04,tela1550.02d
2002-06-05,tela1560.02d
2002-06-06,tela1570.02d
2002-06-07,tela1580.02d
2002-06-08,tela1590.02d
2002-06-09,tela1600.02d
2002-06-10,tela1610.02d
2002-06-11,tela1620.02d
2002-06-12,tela1630.02d
2002-06-13,tela1640.02d
2002-06-14,tela1650.02d
2002-06-15,tela1660.02d
2002-06-16,tela1670.02d
2002-06-17,tela1680.02d
2002-06-18,tela1690.02d
2002-06-19,tela1700.02d
2002-06-20,tela1710.02d
2002-06-21,tela1720.02d
2002-06-22,tela1730.02d
2002-06-23,tela1740.02d
2002-06-24,tela1750.02d
2002-06-25,tela1760.02d
2002-06-26,tela1770.02d
2002-06-27,tela1780.02d
2002-06-28,tela1790.02d
2002-06-29,tela1800.02d
2002-06-30,tela1810.02d
2002-07-01,tela1820.02d
2002-07-02,tela1830.02d
2002-07-03,tela1840.02d
2002-07-04,tela1850.02d
2002-07-05,tela1860.02d
2002-07-06,tela1870.02d
2002-07-07,tela1880.02d
2002-07-08,tela1890.02d
2002-07-09,tela1900.02d
2002-07-10,tela1910.02d
2002-07-11,tela1920.02d
2002-07-12,tela1930.02d
2002-07-13,tela1940.02d
2002-07-14,tela1950.02d
2002-07-15,tela1960.02d
2002-07-16,tela1970.02d
2002-07-17,tela1980.02d
2002-07-18,tela1990.02d
2002-07-19,tela2000.02d
2002-07-20,tela2010.02d
2002-07-21,tela2020.02d
2002-07-22,tela2030.02d
2002-07-23,tela2040.02d
2002-07-24,tela2050.02d
2002-07-25,tela2060.02d
2002-07-26,tela2070.02d
2002-07-27,tela2080.02d
2002-07-28,tela2090.02d
2002-07-29,tela2100.02d
2002-07-30,tela2110.02d
2002-07-31,tela2120.02d
2002-08-01,tela2130.02d
2002-08-02,tela2140.02d
2002-08-03,tela2150.02d
2002-08-04,tela2160.02d
2002-08-05,tela2170.02d
2002-08-06,tela2180.02d
2002-08-07,tela2190.02d
2002-08-08,tela2200.02d
2002-08-09,tela2210.02d
2002-08-10,tela2220.02d
2002-08-11,tela2230.02d
2002-08-12,tela2240.02d
2002-08-13,tela2250.02d
2002-08-14,tela2260.02d
2002-08-15,tela2270.02d
2002-08-16,tela2280.02d
2002-08-17,tela2290.02d
2002-08-18,tela2300.02d
2002-08-19,tela2310.02d
2002-08-20,tela2320.02d
2002-08-21,tela2330.02d
2002-08-22,tela2340.02d
2002-08-23,tela2350.02d
2002-08-24,tela2360.02d
2002-08-25,tela2370.02d
2002-08-26,tela2380.02d
2002-08-27,tela2390.02d
2002-08-28,tela2400.02d
2002-08-29,tela2410.02d
2002-08-30,tela2420.02d
2002-08-31,tela2430.02d
2002-09-01,tela2440.02d
2002-09-02,tela2450.02d
2002-09-03,tela2460.02d
2002-09-04,tela2470.02d
2002-09-05,tela2480.02d
2002-09-06,tela2490.02d
2002-09-07,tela2500.02d
2002-09-08,tela2510.02d
2002-09-09,tela2520.02d
2002-09-10,tela2530.02d
2002-09-11,tela2540.02d
2002-09-12,tela2550.02d
2002-09-13,tela2560.02d
2002-09-14,tela2570.02d
2002-09-15,tela2580.02d
2002-09-16,tela2590.02d
2002-09-17,tela2600.02d
2002-09-18,tela2610.02d
2002-09-19,tela2620.02d
2002-09-20,tela2630.02d
