                       N               E               V      SN      SE      SV
AC08 VEL         -22.397          -7.125           7.940   0.094   0.065   0.277
AC09 POS    59.868478830  -144.523853066      368917.736   0.830   0.580   2.381
AC09 VEL          16.048         -26.649           2.385   0.905   0.633   2.579
AC10 POS    54.522579489  -164.886730120      170509.228   0.967   0.678   2.823
AC10 VEL         -21.604         -10.300           3.094   0.173   0.123   0.504
AC11 POS    61.807077871  -148.331752735      790943.837   1.181   0.825   3.464
AC11 VEL          -7.011         -20.886           2.450   0.837   0.587   2.458
AC12 POS    54.830962069  -159.589564112       84387.085   0.526   0.371   1.494
AC12 VEL         -11.972         -13.836          -2.273   0.212   0.151   0.600
AC13 POS    55.821897690  -155.622404419      222703.017   0.588   0.409   1.697
AC13 VEL          12.535         -24.805         -10.648   0.204   0.144   0.584
AC14 POS    60.848702443  -147.999585779      748751.904   0.693   0.469   2.035
AC14 VEL          16.818         -26.007           3.422   0.238   0.161   0.691
AC15 POS    60.481332245  -149.724010550      151542.296   0.817   0.522   2.529
AC15 VEL          -4.922         -17.679          12.394   0.536   0.343   1.660
AC16 POS    60.518206593  -148.093239963       34068.736   2.377   1.628   8.463
AC16 VEL          22.706         -27.376          -0.089   0.356   0.244   1.268
AC17 POS    60.663899713  -152.403847333      882692.820   0.514   0.363   1.499
AC17 VEL         -28.424          -6.238          11.016   0.212   0.149   0.612
AC18 POS    58.925955884  -152.249532763      214792.271   1.939   1.332   5.765
AC18 VEL         -26.658          -7.587          10.113   0.369   0.254   1.088
AC19 POS    62.519211261  -153.607334208      546535.603   0.853   0.604   2.655
AC19 VEL         -25.518          -6.736           2.809   0.127   0.090   0.392
AC20 POS    60.929206715  -149.352507491       43764.768   0.950   0.581   3.014
AC20 VEL          -6.159         -19.320           9.017   0.232   0.137   0.711
AC21 POS    55.921088610  -159.127724989      170935.608   0.662   0.464   1.872
AC21 VEL         -14.369         -14.602          -0.311   0.109   0.078   0.307
AC23 POS    60.475090824  -150.877956144       80877.542   0.921   0.641   2.753
AC23 VEL         -21.111         -10.099           5.480   0.476   0.332   1.413
AC24 POS    58.681570496  -156.652756636       36357.915   0.667   0.469   1.928
AC24 VEL         -21.569          -7.542           1.015   0.113   0.079   0.324
AC25 POS    55.088966024  -162.314053956      584276.598   0.480   0.337   1.350
AC25 VEL         -20.622          -9.571           0.471   0.091   0.065   0.255
AC26 POS    58.214553622  -154.150293678      190179.082   0.735   0.515   2.119
AC26 VEL         -17.041         -10.515           5.790   0.728   0.512   2.082
AC27 POS    59.252504185  -154.162881981      417529.831   0.635   0.452   1.871
AC27 VEL         -26.880          -4.981           2.740   0.222   0.158   0.646
AC28 POS    55.078489454  -160.049162707      365097.649   0.535   0.374   1.513
AC28 VEL         -15.155         -12.924          -0.269   0.108   0.076   0.304
AC31 POS    64.637973624  -162.239126840      228340.258   0.420   0.296   1.326
AC31 VEL         -24.578          -2.821          -0.478   0.056   0.040   0.179
AC32 POS    61.473118591  -150.736918884     1347772.582   0.707   0.489   2.076
AC32 VEL         -22.715         -10.446           3.838   0.204   0.141   0.597
AC33 POS    62.671175631  -150.685076679     1521152.146   0.971   0.656   2.997
AC33 VEL         -23.744         -17.516           4.851   0.250   0.172   0.757
AC34 POS    57.220026552  -153.279182183      103268.818   0.680   0.483   1.930
AC34 VEL          -2.690         -20.874           2.908   0.166   0.118   0.472
AC35 POS    59.375809975  -150.793248107      408561.241   0.996   0.698   2.843
AC35 VEL         -10.199         -16.523          10.647   0.491   0.344   1.402
AC36 POS    60.955315382  -150.608350248       46522.196   1.219   0.867   3.640
AC36 VEL         -21.505         -10.117           6.023   0.377   0.268   1.133
AC37 POS    60.439684733  -153.865383999     1626617.193   1.250   0.874   3.655
AC37 VEL         -27.999          -2.945           3.422   0.116   0.081   0.335
AC38 POS    57.753683840  -153.341875478       43882.628   0.975   0.679   3.306
AC38 VEL         -13.504         -14.311           6.662   0.323   0.227   1.079
AC39 POS    58.609717211  -152.394075011      157244.894   1.077   0.764   3.075
AC39 VEL         -24.438          -8.069           9.578   0.167   0.119   0.473
AC40 POS    56.930350875  -158.618573083       39907.707   0.559   0.387   1.631
AC40 VEL         -17.970         -12.435           0.662   0.157   0.111   0.456
AC41 POS    55.908666984  -160.407306976      407743.598   0.560   0.398   1.607
AC41 VEL         -17.511         -12.808           0.526   0.107   0.077   0.305
AC42 POS    54.471774279  -162.783653002      257918.648   0.627   0.444   1.774
AC42 VEL         -22.702          -8.194           2.450   0.146   0.105   0.412
AC43 POS    59.521280630  -149.628739553       69574.035   0.652   0.457   1.901
AC43 VEL          14.906         -20.326           5.168   0.416   0.290   1.197
AC44 POS    61.242171790  -149.567128504      832187.929   1.211   0.849   3.520
AC44 VEL          -7.568         -16.298           2.424   0.321   0.224   0.935
AC45 POS    56.564454214  -154.180965772      451037.377   0.543   0.378   1.537
AC45 VEL           7.422         -22.576          -3.628   0.113   0.080   0.317
AC46 POS    61.986266498  -151.524003550      619795.043   0.699   0.490   2.065
AC46 VEL         -26.331          -9.728           5.194   0.237   0.166   0.692
AC47 POS    60.081448282  -152.623945683      922366.221   0.896   0.630   2.665
AC47 VEL         -29.776          -4.292          10.221   0.094   0.066   0.278
AC48 POS    60.645863826  -147.343022178      379521.326   0.771   0.571   2.348
AC48 VEL          20.987         -27.938           0.894   0.228   0.169   0.692
AC50 POS    65.553846761  -164.566570072      516842.215   0.757   0.535   2.470
AC50 VEL         -23.934          -2.266          -0.827   0.175   0.124   0.559
AC51 POS    61.498080518  -151.835349562      957464.934   0.528   0.369   1.549
AC51 VEL         -26.564          -7.493           7.623   0.198   0.138   0.575
AC52 POS    57.567248217  -157.574218873       51833.384   0.650   0.455   1.865
AC52 VEL         -17.787         -12.899           1.080   0.325   0.230   0.918
AC53 POS    61.768970523  -150.068955398       57490.855   0.742   0.536   2.365
AC53 VEL         -17.852         -15.384           5.838   0.381   0.277   1.197
AC57 POS    61.138597414  -145.742708691      826485.396   0.567   0.423   1.735
AC57 VEL           8.932         -24.595          11.657   0.173   0.128   0.523
AC58 POS    57.156086096  -170.217820684       19376.889   0.651   0.460   1.925
AC58 VEL         -23.856          -4.016          -0.606   0.109   0.079   0.321
AC59 POS    59.567194936  -153.585201762      308633.495   1.322   0.882   3.799
AC59 VEL         -29.132          -5.703           6.400   0.165   0.111   0.473
AC60 POS    52.714619029   174.076265510       18313.646   0.627   0.439   1.733
AC60 VEL          -6.646         -20.382           2.016   0.296   0.208   0.828
AC61 POS    64.029257811  -142.075849396      745401.436   0.473   0.326   1.505
AC61 VEL         -19.185          -8.385          -0.657   0.063   0.043   0.199
AC62 POS    63.083605074  -146.312701256     1347163.948   1.224   0.864   3.749
AC62 VEL         -12.214         -22.960           4.862   0.311   0.223   0.970
AC63 POS    63.502424164  -145.847247277      815136.449   0.580   0.421   1.891
AC63 VEL         -18.591          -8.166           6.966   0.152   0.110   0.491
AC64 POS    62.714015494  -144.303993582      774591.861   0.805   0.464   2.919
AC64 VEL          -3.928         -21.224           9.238   0.327   0.188   1.175
AC65 POS    62.831510240  -143.704222247      735893.171   0.826   0.656   3.354
AC65 VEL          -2.577         -18.515          10.323   1.056   0.828   4.155
AC66 POS    51.378127831   179.301322340      106793.002  13.425   9.840  39.832
AC66 VEL         -18.364         -18.946           3.183   0.691   0.497   1.931
AC67 POS    57.790716834  -152.425436533      347322.325   0.713   0.468   2.061
AC67 VEL          -6.268         -18.274           6.058   0.243   0.163   0.706
AC70 POS    63.304709271  -148.188324898      810881.360   0.518   0.363   1.599
AC70 VEL         -17.096         -17.774           3.903   0.115   0.081   0.354
AC71 POS    64.049303159  -145.713625525      364016.569   0.536   0.380   1.703
AC71 VEL         -21.056          -7.038           3.308   0.123   0.087   0.387
AC72 POS    63.695056469  -145.887698248      558862.314   0.694   0.446   2.363
AC72 VEL         -20.148          -6.631           5.531   0.151   0.097   0.507
AC74 POS    63.464354757  -148.807262303      668611.725   1.255   0.869   3.900
AC74 VEL         -18.241         -13.983           2.808   0.119   0.083   0.369
AC75 POS    62.999302644  -149.608824120      608666.761   0.568   0.398   1.736
AC75 VEL         -18.463         -16.087           5.636   0.147   0.103   0.444
AC76 POS    63.039996651  -143.258817113     1585303.336   0.761   0.529   2.290
AC76 VEL         -15.506          -4.540           3.570   0.373   0.258   1.116
AC77 POS    62.688031190  -145.426261806      746899.285   0.714   0.438   2.410
AC77 VEL          -8.681         -21.076           7.051   0.370   0.228   1.226
AC78 POS    63.113489707  -142.027939521      643739.783   0.576   0.417   1.768
AC78 VEL         -17.057          -7.272          -0.204   0.203   0.145   0.621
AC79 POS    59.997870434  -147.403049611      287756.260   0.764   0.537   2.196
AC79 VEL          26.352         -27.730          -1.163   0.267   0.186   0.768
AC80 POS    62.394075770  -151.765043504     1114519.980   0.540   0.392   1.669
AC80 VEL         -25.557         -11.225           6.567   0.119   0.087   0.365
ACOR POS    43.364385898    -8.398928992       66878.047   0.470   0.365   1.521
ACOR VEL          17.003          20.832          -2.185   0.064   0.049   0.203
ACP1 POS     9.371392979   -79.949858380       12794.447   0.512   0.611   2.247
ACP1 VEL          11.744          16.627           0.060   0.099   0.120   0.433
ACP6 POS     9.238476858   -79.407822164      943503.452   0.591   0.701   2.529
ACP6 VEL          12.331          16.587           0.617   0.282   0.347   1.195
ACSB POS    33.274265876  -117.444893711      -12315.453   0.738   0.636   2.515
ACSB VEL          17.735         -38.706          -2.420   0.193   0.165   0.659
ACSO POS    40.232360988   -82.981533597      248161.349   0.522   0.419   1.719
ACSO VEL           2.074         -15.068          -1.513   0.117   0.096   0.384
ADE1 POS   -34.728990331   138.647350204       38016.914   1.440   1.187   5.066
ADE1 VEL          58.507          24.679          -2.015   0.105   0.087   0.374
ADE2 POS   -34.728990306   138.647350186       38009.635   2.894   2.376   9.895
ADE2 VEL          58.754          24.542          -2.649   0.245   0.201   0.836
ADIS POS     9.035137426    38.766306243     2439123.540   0.924   1.002   4.029
ADIS VEL          18.769          24.503          -1.512   0.174   0.192   0.760
ADKS POS    29.790969075   -95.586410912        2756.942   2.431   2.341   9.280
ADKS VEL          -3.948         -13.528          -1.516   0.363   0.349   1.383
ADRI POS    41.918989566   -84.024281914      206027.897  13.143   9.899  45.970
ADRI VEL           1.455         -15.837          -2.078   0.071   0.056   0.237
AGMT POS    34.594281457  -116.429381367     1337824.241   0.933   0.790   3.064
