                       N               E               V      SN      SE      SV
DYER POS    37.742802862  -118.039338910     1511941.868   2.381   1.974   8.004
DYER VEL          -7.085         -16.850           0.244   0.193   0.160   0.649
DYH2 POS    33.938315321  -118.127463568       10794.917   1.151   0.986   3.809
DYH2 VEL          15.010         -39.248          -6.159   0.257   0.217   0.867
DYHS POS    33.937990330  -118.125987961        1464.753   2.651   2.210   9.281
DYHS VEL          15.759         -41.690           0.903   0.258   0.218   0.910
DYNG POS    38.078552329    23.932434979      510561.113   0.626   0.521   2.061
DYNG VEL         -11.746           8.130          -0.321   0.244   0.202   0.796
EBBE POS     0.038194023    32.444946383     1181251.914   4.868   5.866  21.526
EBBE VEL          15.536          25.190          -6.256   0.624   0.753   2.759
EBMD POS    37.815009126  -122.283809538      -15825.346   0.636   0.514   2.003
EBMD VEL          13.649         -30.931          -1.507   0.318   0.258   1.001
EBRE POS    40.820890317     0.492365663      107787.397   0.493   0.397   1.558
EBRE VEL          16.116          19.877          -0.357   0.040   0.032   0.132
ECCO POS    33.886754633  -118.329031172      -19341.492   6.674   5.411  24.115
ECCO VEL          19.010         -38.144           0.703   0.455   0.369   1.644
ECFS POS    33.647685688  -117.411699128      801393.006   0.620   0.531   2.053
ECFS VEL          15.965         -36.477          -0.469   0.114   0.096   0.379
ECHO POS    37.915532599  -114.264250019     1684100.343   0.620   0.502   1.934
ECHO VEL          -9.123         -15.961          -0.616   0.101   0.080   0.315
ECSD POS    43.733699315   -96.614009368      444341.311   0.473   0.359   1.432
ECSD VEL          -3.065         -15.784          -3.386   0.100   0.076   0.303
EDOC POS    70.310268699  -148.318485858       22360.546   0.743   0.522   2.739
EDOC VEL         -18.709          -7.686          -4.915   0.105   0.074   0.384
EDPP POS    34.946194879  -118.830412359      379837.853   0.804   0.663   2.789
EDPP VEL           5.497         -27.976           1.225   0.118   0.096   0.407
EGAN POS    39.345242607  -114.938857093     1998261.409   0.466   0.376   1.480
EGAN VEL          -9.514         -16.564          -1.077   0.132   0.105   0.430
EIL1 POS    64.687936136  -147.112968944      176511.929   7.303   5.027  22.707
EIL1 VEL         -24.361          -7.712           0.555   0.734   0.505   2.284
EIL2 POS    64.687936196  -147.112968576      176528.742   3.109   2.163   9.707
EIL2 VEL         -23.566          -6.134           2.118   0.259   0.180   0.811
EISL POS   -27.148210249  -109.383279322      114518.481   3.636   3.563  16.698
EISL VEL          -6.837          67.433          -0.602   0.214   0.211   0.979
EKY1 POS    27.600417786   -82.760325284      -18598.777  10.147  10.226  43.086
EKY1 VEL           1.272         -13.282          -2.698   0.482   0.485   2.044
ELAT POS    29.509282152    34.920603973       29533.374   0.455   0.444   1.965
ELAT VEL          20.877          25.287           0.301   0.159   0.158   0.712
ELEN POS    16.916056090   -89.867614759      118131.885   1.160   1.319   5.083
ELEN VEL           0.643          -7.096           1.821   0.161   0.183   0.715
ELIZ POS    49.873052331  -127.122665401      164744.380   0.818   0.566   2.537
ELIZ VEL          -7.188          -6.502           1.181   0.166   0.112   0.526
ELKO POS    40.914689345  -115.817200878     2016885.107   0.533   0.415   1.607
ELKO VEL          -9.458         -17.017          -0.476   0.134   0.102   0.408
ELLY POS    33.583499247  -118.128789761       -2883.530   1.434   1.284   5.608
ELLY VEL          17.699         -38.867          -4.752   0.820   0.707   2.935
ELRO POS    33.182011384    35.770652887     1083246.918  13.332  10.971  54.083
ELRO VEL          22.843          22.328           0.642   0.105   0.092   0.408
ELSC POS    34.029735075  -118.208437508       61146.647   1.051   0.990   4.163
ELSC VEL          13.963         -37.944          -2.563   0.135   0.119   0.508
ELSG POS    33.649142034  -117.426023676      811330.778   0.683   0.583   2.320
ELSG VEL          16.540         -37.162          -1.190   0.383   0.327   1.299
ELSR POS    47.497603442  -122.760585627      115179.965   0.768   0.549   2.272
ELSR VEL          -8.031          -8.506          -2.138   0.488   0.347   1.409
ELTN POS    34.703118056  -118.425733461      916486.423   1.377   1.179   4.560
ELTN VEL           6.401         -27.279           0.641   0.363   0.308   1.190
ELTS POS    34.599291791  -118.453764894      887087.823   2.064   1.684   6.812
ELTS VEL          10.972         -30.844          -1.216   0.359   0.292   1.188
ENG1 POS    29.878962440   -89.941730148      -18504.171   5.793   5.413  23.586
ENG1 VEL          -1.706         -12.096          -2.411   0.193   0.182   0.767
ENUM POS    47.206206290  -121.955585683      227021.445   0.697   0.482   1.998
ENUM VEL          -8.484          -9.798          -0.481   0.363   0.253   1.077
EOUT POS    41.253195619  -111.928910959     1677837.281   0.505   0.389   2.214
EOUT VEL          -8.922         -14.871           0.038   0.058   0.045   0.257
EPRT POS    44.908710691   -66.992134036       30361.887   1.165   0.894   3.604
EPRT VEL           7.124         -15.480          -0.333   0.105   0.080   0.336
EPZA POS    10.140938136   -85.568064575      668584.795   0.557   0.661   2.516
EPZA VEL          20.621          10.998          -3.737   0.471   0.558   2.116
ERLA POS    39.023205685   -84.605911076      253887.339   2.704   2.189   8.767
ERLA VEL           1.324         -14.656           0.086   0.180   0.145   0.583
ERRG POS    33.116445774  -115.822734713      -92403.084   0.654   0.571   2.282
ERRG VEL           6.099         -28.178          -0.565   0.195   0.169   0.680
ESCO POS    42.693577963     0.975669795     2508424.461   0.450   0.346   1.345
ESCO VEL          16.488          19.360          -0.116   0.051   0.039   0.162
ESCU POS    47.073405234   -64.798713458      -16016.751   0.608   0.448   1.757
ESCU VEL           8.251         -15.754          -0.433   0.106   0.080   0.319
ESE2 POS    33.674795374  -116.993861660      512815.089   2.925   2.381  10.352
ESE2 VEL          13.426         -33.413           2.927   0.402   0.327   1.422
ESRW POS    33.681781415  -117.066955917      548606.885   2.462   2.179   9.489
ESRW VEL          13.433         -34.680           0.944   0.320   0.284   1.231
ESTI POS    13.099538037   -86.362125271      852741.964  11.218  13.404  51.371
ESTI VEL          13.666          14.841           4.556   0.614   0.734   2.811
EUSK POS    50.674134275     6.763538386      245291.212   0.426   0.309   1.226
EUSK VEL          16.471          18.387          -0.990   0.103   0.076   0.304
EWPP POS    34.104199469  -117.525589474      330465.312   0.918   0.786   3.682
EWPP VEL          12.203         -34.026           0.258   0.163   0.136   0.628
FAA1 POS   -17.555309466  -149.614307736       12024.655   0.433   0.490   1.851
FAA1 VEL          34.311         -65.716          -1.641   0.117   0.132   0.494
FAIR POS    64.977995905  -147.499241512      319022.377   0.653   0.399   2.054
FAIR VEL         -22.977          -6.963           1.532   0.142   0.087   0.439
FALE POS   -13.832208400  -171.999534848       47482.515   0.719   0.838   3.233
FALE VEL          33.292         -63.490          -1.740   0.077   0.091   0.343
FALK POS   -51.693650889   -57.874067346       50820.816   0.609   0.427   1.857
FALK VEL          12.808           0.208          -0.779   0.170   0.120   0.521
FALL POS   -85.306416798  -143.631685903      260243.510   0.476   0.473   3.220
FALL VEL          -5.053          12.031           4.483   0.083   0.082   0.559
FARB POS    37.697211279  -123.000773091      -21765.746   0.447   0.363   1.534
FARB VEL          25.706         -38.876          -2.049   0.056   0.046   0.191
FAYR POS    35.034032741   -78.870764936       15515.223   6.906   6.186  26.999
FAYR VEL           4.040         -13.283          -1.380   0.444   0.395   1.734
FBYN POS    40.076871287   -97.312823508      405338.904   2.460   2.023   8.179
FBYN VEL          -2.740         -14.047           1.543   0.201   0.165   0.666
FERN POS    35.341871155  -112.454739089     1767905.576   0.622   0.525   2.124
FERN VEL          -8.143         -14.333          -0.392   0.050   0.042   0.172
FFMJ POS    50.090580236     8.664970871      178207.516   0.675   0.487   1.899
FFMJ VEL          15.882          20.073          -1.133   0.223   0.163   0.635
FGST POS    34.733011483  -120.009386637      904076.705   0.589   0.506   2.008
FGST VEL          19.796         -41.610           0.381   0.092   0.077   0.313
FHOG POS    34.093546824  -116.935871351     1588672.033   0.627   0.436   2.054
FHOG VEL           6.854         -24.250           1.294   0.208   0.143   0.690
FIE0 POS   -76.144594239   168.423529876      153803.257   3.226   2.477  15.272
FIE0 VEL         -10.942          10.144          -1.008   0.453   0.347   2.149
FLIN POS    54.725583224  -101.978038174      311557.843   0.743   0.507   2.126
FLIN VEL          -7.217         -17.596           3.727   0.162   0.111   0.471
FLRS POS    39.453837254   -31.126389746       80195.994   0.479   0.381   1.571
FLRS VEL          20.136         -10.049          -1.325   0.090   0.070   0.290
FMTP POS    34.409865838  -118.894148076      362765.673   0.705   0.603   2.344
FMTP VEL          14.738         -37.846          -0.547   0.092   0.076   0.307
FMVT POS    34.356338022  -118.884036515      616985.252   0.608   0.523   2.050
FMVT VEL          17.839         -39.007          -0.192   0.169   0.142   0.572
FONP POS   -65.245352578   -61.646848444       95565.074   3.203   2.156  10.380
FONP VEL           6.230          14.059          15.467   0.609   0.411   1.977
FOOT POS    39.369395802  -113.805375578     1547379.729   0.652   0.536   2.146
FOOT VEL          -9.197         -16.374          -0.255   0.055   0.045   0.183
FORE POS    40.511895662  -111.380330348     1796659.819   0.475   0.371   1.500
FORE VEL          -8.087         -14.494          -1.397   0.108   0.083   0.338
FORT POS    -3.877443439   -38.425613310       19451.533   5.224   5.870  25.371
FORT VEL          12.739          -4.780           0.272   0.316   0.355   1.534
FOXG POS    34.733912264  -118.240501992      688775.685   1.168   0.994   3.946
FOXG VEL           7.012         -25.838          -4.623   0.461   0.387   1.554
FRDN POS    45.933507947   -66.659883200       94845.710   0.473   0.352   1.409
FRDN VEL           7.307         -15.778          -0.121   0.083   0.063   0.251
FRED POS    36.988331048  -112.499219473     1529715.986   0.751   0.620   2.399
FRED VEL          -8.522         -14.292          -0.697   0.052   0.043   0.172
FREO POS    40.201666677   -81.257847148      273448.440   0.623   0.488   1.998
FREO VEL           2.822         -15.183          -1.694   0.150   0.122   0.500
FSHB POS    32.944988931  -115.799943855      134994.882   0.911   0.806   3.582
FSHB VEL          11.212         -31.716           1.205   0.289   0.257   1.129
FTNA POS   -14.307800650  -178.120950058       84837.932   0.572   0.626   2.543
FTNA VEL          34.659         -59.913          -2.871   0.138   0.153   0.605
FTS1 POS    46.204887196  -123.956095178      -13925.019   4.985   3.551  15.048
FTS1 VEL          -3.404          -3.063           0.448   0.362   0.258   1.093
FUNC POS    32.647950282   -16.907613441       78420.862   2.548   2.209   9.638
FUNC VEL          17.624          14.484          -0.686   0.085   0.072   0.318
FVPK POS    33.662328886  -117.935719104      -11560.940   0.586   0.499   2.015
FVPK VEL          20.289         -37.795          -1.974   0.374   0.317   1.293
FXHS POS    34.080606368  -118.359483327       33303.547   2.103   1.772   8.643
FXHS VEL          14.278         -40.725          -1.243   0.181   0.154   0.710
FZHS POS    34.800194206  -118.893384708     1273722.236   0.775   0.653   2.675
FZHS VEL           8.211         -31.974           1.474   0.099   0.083   0.353
GABB POS    38.970331390  -117.916394036     1550291.848   2.401   1.917   8.223
GABB VEL          -8.891         -16.491           0.563   0.197   0.158   0.676
GAIT POS    39.133992125   -77.220983825      107634.038   1.046   0.906   3.644
GAIT VEL           3.887         -14.639          -0.544   0.069   0.058   0.243
GAL1 POS    29.329880196   -94.736811022      -17619.868   4.299   4.089  16.685
GAL1 VEL          -3.020         -11.375          -4.214   0.213   0.202   0.829
GALA POS    -0.742693602   -90.303611444        7397.861   4.925   5.608  22.965
GALA VEL          10.497          51.357          -1.968   0.255   0.288   1.189
GALB POS    39.212727617   -84.485475242      142555.988   1.829   1.530   6.598
GALB VEL           1.322         -14.892          -1.496   0.112   0.093   0.403
GANP POS    49.034715385    20.322939897      746030.838   0.673   0.489   1.969
GANP VEL          13.784          20.834          -0.229   0.111   0.082   0.320
GARL POS    40.416525715  -119.355459767     1640228.931   0.455   0.354   1.412
GARL VEL          -7.549         -17.472           0.150   0.068   0.053   0.223
GASB POS    39.654706903  -122.715932582     1361962.667   2.413   1.806  11.864
GASB VEL          -4.410         -21.918           3.118   0.521   0.385   2.534
GDAC POS    37.775451388  -102.180015967     1134324.933   3.236   2.738  11.554
GDAC VEL          -4.186         -14.282           0.942   0.274   0.232   0.975
GDEC POS    35.189416512  -119.863685384      566243.802   0.637   0.524   2.145
GDEC VEL          14.399         -35.609          -0.462   0.151   0.123   0.510
GDMA POS    47.748551956   -90.341254941      157358.657   0.854   0.620   2.508
GDMA VEL          -1.981         -17.068          -1.320   0.192   0.141   0.572
GENO POS    44.419389764     8.921147049      155517.608   0.652   0.521   2.283
GENO VEL          15.888          20.872          -0.384   0.048   0.038   0.167
GHRP POS    34.203890217  -117.397898656      628585.494   0.755   0.647   2.608
GHRP VEL           8.501         -29.191           0.449   0.235   0.201   0.821
GILB POS    32.479340118    35.416481182      506830.820   1.210   1.069   4.627
GILB VEL          20.518          22.098           1.471   0.097   0.086   0.374
GISB POS   -38.635333171   177.886035070       87170.198   1.101   0.907   3.667
GISB VEL          23.266          -7.024           1.152   0.455   0.379   1.504
GLDB POS   -40.826589418   172.529563181      302598.325   0.706   0.557   2.199
GLDB VEL          42.391          -1.836          -2.098   0.180   0.142   0.568
GLDR POS    49.681484794  -126.127332705       -9323.608   0.931   0.774   3.515
GLDR VEL          -9.594          -6.238           4.491   0.269   0.214   1.022
GLPS POS    -0.742997965   -90.303665333        1768.392   0.420   0.482   1.793
GLPS VEL          10.945          50.538          -1.456   0.071   0.082   0.301
GLPT POS    37.248541194   -76.499459620      -22083.745   2.195   1.906   8.053
GLPT VEL           4.188         -14.251          -1.885   0.122   0.106   0.451
GLRS POS    33.274811239  -115.521373702      -48654.743   0.504   0.441   1.764
GLRS VEL          -7.583         -16.717          -0.863   0.146   0.126   0.510
GLSV POS    50.364184502    30.496737028      226316.017   0.783   0.559   2.209
GLSV VEL          12.925          22.430           0.536   0.178   0.127   0.508
GMAG POS    34.291434259  -116.382567779      866732.942   0.638   0.544   2.142
GMAG VEL          -0.122         -17.264          -0.275   0.258   0.220   0.873
GMAS POS    27.764785079   -15.634267478      195422.251   1.811   1.649   6.980
GMAS VEL          17.605          16.762          -0.239   0.190   0.173   0.729
GMMA POS    77.809426467   -19.652119632      521853.651   0.595   0.475   2.939
GMMA VEL          20.090         -10.932           5.028   0.090   0.073   0.447
GMPK POS    33.051084174  -114.827347120      591170.078   0.499   0.433   1.767
GMPK VEL          -7.700         -13.617          -1.004   0.198   0.174   0.734
GMRC POS    34.783996539  -115.660231214     1298192.088   0.839   0.694   3.485
GMRC VEL          -8.617         -15.081          -0.665   0.126   0.104   0.524
GMSD POS    30.556443969   131.015566558      142318.795   0.673   0.620   2.546
GMSD VEL         -22.811          30.400           0.441   0.246   0.223   0.941
GNAA POS    62.112382671  -145.970226066      603176.977   2.086   1.569   7.305
GNAA VEL          -5.955         -19.575           7.103   0.283   0.212   1.004
GNPS POS    34.308555402  -114.189451878      232374.886   0.490   0.420   1.668
GNPS VEL          -7.646         -13.895           0.193   0.182   0.157   0.627
GOBS POS    45.838817585  -120.814678374      621462.298   0.657   0.488   1.957
GOBS VEL          -8.625         -11.979          -1.937   0.157   0.115   0.466
GODE POS    39.021728148   -76.826832705       14482.461   0.338   0.287   1.163
GODE VEL           4.166         -14.753          -1.080   0.054   0.048   0.194
GODN POS    39.021178811   -76.827094962       17847.222   0.498   0.411   1.690
GODN VEL           4.352         -14.522          -1.832   0.113   0.095   0.382
GODS POS    39.020517816   -76.827323968       19068.864   0.622   0.500   2.038
GODS VEL           4.561         -14.735          -1.992   0.123   0.100   0.405
GODZ POS    39.021728151   -76.826832702       14481.307   0.367   0.309   1.254
GODZ VEL           4.292         -14.649          -1.520   0.041   0.036   0.146
GOGA POS    33.414747727   -83.473225484      122508.863   2.440   2.152  10.121
GOGA VEL           1.530         -13.737          -1.492   0.302   0.267   1.250
GOL2 POS    35.425155473  -116.889252393      986640.808   1.060   0.908   3.994
GOL2 VEL          -3.961         -16.924           0.018   0.094   0.079   0.349
GOLD POS    35.425155473  -116.889252416      986641.474   0.756   0.638   2.598
GOLD VEL          -3.825         -16.955          -0.016   0.073   0.060   0.253
GOPE POS    49.913706726    14.785626567      592608.898   0.896   0.651   2.606
GOPE VEL          15.216          20.503           0.233   0.107   0.074   0.311
GOSH POS    40.640167611  -114.179700462     1560190.819   0.420   0.334   1.292
GOSH VEL          -9.532         -16.519          -0.090   0.067   0.053   0.208
GOUG POS   -40.348830391    -9.880712668       81253.127   2.015   1.611   7.559
GOUG VEL          18.779          21.362          -1.110   0.285   0.229   1.144
GR8R POS    36.399015159  -120.415733806      206023.484   0.892   0.759   3.234
GR8R VEL           0.579         -20.613           1.393   0.312   0.259   1.144
GRAB POS    47.067140902    15.493456852      540163.099   7.501   5.548  21.882
GRAB VEL          15.747          21.335          -0.032   0.415   0.306   1.210
GRAR POS    42.988804961   -85.674346068      155897.370   0.583   0.459   1.844
GRAR VEL           0.717         -16.451          -2.750   0.112   0.089   0.363
GRAS POS    43.754739984     6.920577030     1319304.397   0.385   0.304   1.191
GRAS VEL          16.093          20.385          -0.217   0.045   0.036   0.140
GRAZ POS    47.067132093    15.493484571      538282.382   0.519   0.385   1.504
GRAZ VEL          15.540          21.848          -0.454   0.079   0.060   0.237
GRE0 POS    12.221784937   -61.640452748       16651.648   1.083   1.269   4.721
GRE0 VEL          15.251          13.308          -1.688   0.123   0.152   0.538
GRMD POS    46.795485343  -123.022598860       30744.238   0.868   0.648   2.566
GRMD VEL          -6.722          -8.297           0.054   0.229   0.165   0.696
GRNR POS    63.835756267  -148.978340948      596191.463   1.446   0.991   4.536
GRNR VEL         -20.545          -9.998           3.707   0.121   0.083   0.381
GRRG POS    42.937775765  -111.421635766     2198355.104   0.691   0.542   2.143
GRRG VEL          -9.278         -15.613           0.058   0.143   0.111   0.444
GTK0 POS    21.432789124   -71.144592814      -31091.635   2.183   2.429   9.838
GTK0 VEL           6.307          -8.433          -0.662   0.308   0.342   1.384
GTRG POS    43.244090693  -113.241215620     1539122.922   0.564   0.429   1.661
GTRG VEL          -9.612         -16.414          -0.596   0.175   0.131   0.517
GUAM POS    13.589329970   144.868360004      201915.487   1.090   1.184   5.396
GUAM VEL           4.520          -8.120           0.440   0.118   0.125   0.563
GUAO POS    43.471108469    87.177312730     2028726.313   0.937   0.723   2.922
GUAO VEL           5.506          32.101           0.895   0.123   0.095   0.382
GUAT POS    14.590404408   -90.520182407     1519848.108   0.451   0.528   1.985
GUAT VEL           2.146           3.846          -0.061   0.218   0.256   0.967
GUAX POS    28.884061716  -118.289689467       40466.482   0.545   0.506   2.019
GUAX VEL          24.858         -47.691          -0.803   0.087   0.081   0.334
GUS2 POS    58.417755299  -135.697053975       20226.948   5.162   3.337  14.662
GUS2 VEL         -14.003         -12.271          19.651   0.380   0.246   1.081
GUST POS    41.462751331   -80.716188642      281983.433   0.984   0.737   3.119
GUST VEL           2.772         -15.667          -1.953   0.159   0.121   0.504
GUUG POS    13.433208766   144.802711933      134715.840   1.142   1.282   5.340
GUUG VEL           4.755          -7.439          -0.481   0.161   0.180   0.722
GVLT POS    34.829713021   -82.370943960      248840.329   3.162   2.862  11.498
GVLT VEL           1.993         -13.451          -2.382   0.289   0.261   1.049
GVRS POS    34.047448290  -118.112898684      154489.570   0.843   0.718   2.861
GVRS VEL          13.733         -37.763          -1.265   0.113   0.096   0.383
GWEN POS    45.782632019  -121.327564328      732420.566   8.666   6.089  27.284
GWEN VEL          -8.658         -10.433           0.081   0.209   0.150   0.655
HAAS POS   -44.073198237   168.785549705     1053544.691   0.723   0.573   2.386
HAAS VEL          40.709         -13.528           0.417   0.123   0.098   0.405
HALY POS    29.138869865    36.099920433      861592.562   5.992   5.538  24.462
HALY VEL          24.023          26.759          -0.115   0.564   0.521   2.304
HAMM POS    30.513075298   -90.467627913        5886.092   0.672   0.620   2.495
HAMM VEL          -0.071         -12.471          -1.596   0.126   0.118   0.469
HAMT POS   -37.806748136   175.109198835       69408.273   0.960   0.796   3.176
HAMT VEL          39.523           1.949          -1.205   0.162   0.135   0.533
HAR7 POS    35.011540533  -117.299213864      590356.473   0.732   0.617   2.392
HAR7 VEL           1.739         -19.202          -4.677   0.488   0.428   1.518
HARB POS   -25.886960443    27.707247227     1558086.517   0.388   0.386   1.512
HARB VEL          18.537          17.958           1.013   0.076   0.076   0.299
HARK POS   -25.887104904    27.707762303     1555394.081  13.978  14.321  65.622
HARK VEL          20.267          20.547           0.675   0.664   0.681   3.107
HART POS   -25.887105073    27.707761583     1555378.859   9.175  10.204  39.456
HART VEL          19.599          17.255          -2.192   0.339   0.388   1.445
HARV POS    34.469403925  -120.682072444       14861.504   1.226   1.018   4.145
HARV VEL          24.098         -42.931          -3.715   0.115   0.097   0.395
HAV2 POS    12.035226030    92.980446910      -55082.128   3.454   3.755  15.489
HAV2 VEL           2.297          -6.958          29.937   0.539   0.614   2.313
HBCO POS    33.783647876  -118.285799647      -26887.941   1.161   1.014   4.222
HBCO VEL          18.654         -37.531          -0.669   0.235   0.197   0.841
HBRK POS    38.304649107   -97.293527179      412589.849   2.217   1.923   7.370
HBRK VEL          -3.006         -14.378          -0.895   0.220   0.184   0.752
HCES POS    36.332604914   -89.171769082       77901.770   0.755   0.646   2.802
HCES VEL          -0.170         -13.919          -1.429   0.233   0.207   0.928
HCMN POS    34.754773157  -116.430077574      568744.444   0.840   0.712   2.800
HCMN VEL          -5.350         -18.587          -0.185   0.122   0.102   0.406
HCRO POS    40.815916605  -121.469901844     1000085.261   0.610   0.472   1.858
HCRO VEL          -6.452         -19.280          -0.675   0.133   0.102   0.406
HDIL POS    40.555885859   -89.293991150      199896.552   1.068   0.858   3.883
HDIL VEL           0.153         -15.163          -3.984   0.218   0.176   0.762
HDPW POS    59.641681894  -151.531190937       20861.997   0.682   0.470   2.022
HDPW VEL         -22.153          -9.383           9.434   0.387   0.270   1.135
HEBE POS    40.514098043  -111.372720162     1806363.682   4.034   3.236  15.116
HEBE VEL          -8.845         -14.906           1.290   0.286   0.229   1.068
HELB POS    36.678842000  -119.022967607     1105336.984   0.967   0.840   3.591
HELB VEL          -0.305         -21.411          -1.196   0.226   0.197   0.869
HELG POS    54.174483472     7.893095789       48395.564   0.663   0.462   1.860
HELG VEL          15.803          17.844           0.281   0.089   0.063   0.254
HELJ POS    54.174483529     7.893095718       48402.694   7.107   4.955  20.656
HELJ VEL          16.386          17.540           0.290   0.442   0.308   1.286
HELL POS    36.723646048  -116.979204590      659992.863   5.649   4.694  19.171
HELL VEL          -7.703         -15.918          -0.043   0.472   0.393   1.602
HERS POS    50.867316043     0.336275064       76469.008   0.409   0.292   1.161
HERS VEL          16.697          16.983          -0.452   0.071   0.051   0.201
HERT POS    50.867481696     0.334356958       83329.582   0.477   0.341   1.356
HERT VEL          16.463          16.767           0.159   0.142   0.103   0.404
HFLK POS    47.312907197    11.386096359     2383974.690   2.249   1.690   6.606
HFLK VEL          16.487          20.877           1.511   0.162   0.121   0.478
HIKB POS   -37.561037679   178.303354074      107293.848   1.104   0.937   3.826
HIKB VEL          20.313           6.375          -0.833   0.132   0.112   0.449
HIL1 POS   -31.825515746   115.738588280      -27272.398   0.736   0.673   2.701
HIL1 VEL          57.284          38.870          -2.472   0.136   0.128   0.525
HILB POS    36.052835260   -79.102534567      171043.655   1.162   1.027   4.102
HILB VEL           3.628         -14.010          -1.042   0.098   0.086   0.347
HILO POS    19.719187529  -155.052703338       29275.547   1.972   2.142   8.206
HILO VEL          35.463         -62.601          -0.999   0.170   0.184   0.708
HIPT POS    35.965698612   -80.013600558      266589.177   0.553   0.478   1.912
HIPT VEL           3.483         -13.910          -1.515   0.083   0.073   0.289
HIVI POS    34.759920447  -117.799456937      930859.678   0.865   0.789   3.402
HIVI VEL           4.770         -23.234          -1.014   0.145   0.129   0.558
HKLO POS    35.682754039   -95.863387215      191104.058   2.236   1.990   8.189
HKLO VEL          -2.925         -14.266          -0.613   0.193   0.171   0.695
HLFX POS    44.683550674   -63.611282564        3093.407   0.399   0.292   1.213
HLFX VEL           8.756         -15.238          -1.264   0.079   0.059   0.241
HLID POS    43.562579285  -114.414047746     1769693.522   1.478   1.072   5.733
HLID VEL         -10.224         -15.868          -0.998   0.137   0.100   0.534
HMTG POS    33.708097176  -117.001505245      577008.754   0.739   0.630   2.478
HMTG VEL          12.779         -33.565          -2.255   0.362   0.309   1.205
HNLC POS    21.303292874  -157.864554578       21959.511   0.393   0.425   1.701
HNLC VEL          34.612         -62.833          -0.588   0.040   0.043   0.172
HNPS POS    33.705005012  -115.635337545      393928.612   0.491   0.409   1.883
HNPS VEL          -7.296         -16.808          -0.813   0.108   0.089   0.415
HNPT POS    38.588817121   -76.130376095      -28000.647   0.437   0.362   1.460
HNPT VEL           4.380         -14.670          -2.539   0.063   0.053   0.211
HNUS POS   -34.424628740    19.223063929       63048.083   0.509   0.443   1.781
HNUS VEL          19.406          16.578           0.623   0.104   0.092   0.367
HOB2 POS   -42.804705228   147.438736993       41033.711   0.417   0.320   1.256
HOB2 VEL          55.601          14.103          -1.265   0.071   0.054   0.218
HOBU POS    53.050634332    10.476306838      152232.950   0.436   0.309   1.238
HOBU VEL          15.442          18.478           0.647   0.105   0.076   0.302
HOFN POS    64.267293874   -15.197916131       82875.848   0.516   0.360   1.576
HOFN VEL          14.984          13.815          10.054   0.157   0.110   0.481
HOGS POS    35.866716969  -120.479501376      762861.783   0.928   0.735   3.277
HOGS VEL          18.802         -35.446           1.147   0.164   0.130   0.577
HOKI POS   -42.712899860   170.984314945       53666.831   1.166   0.898   3.522
HOKI VEL          42.192          -4.199          -1.140   0.159   0.123   0.480
HOL3 POS    34.458156045  -117.845130599     1239414.922   0.747   0.634   2.506
HOL3 VEL           7.903         -29.236           0.676   0.055   0.046   0.183
HOLB POS    50.640351924  -128.135000115      559625.511   0.600   0.425   1.651
HOLB VEL         -11.128         -11.835           2.057   0.153   0.106   0.439
HOLC POS    34.458187161  -117.845165579     1238144.748   4.784   4.172  17.390
HOLC VEL           7.890         -30.365           0.002   0.311   0.271   1.131
HOLM POS    70.736302500  -117.761242369         464.717   0.643   0.459   2.450
HOLM VEL         -12.436         -17.347           2.781   0.066   0.047   0.251
HOLP POS    33.924541590  -118.168176109       -6776.942   0.875   0.764   3.031
HOLP VEL          15.601         -38.519          -3.516   0.212   0.183   0.738
HOPB POS    38.995185662  -123.074732318      353237.214   0.470   0.374   1.476
HOPB VEL           9.881         -30.538          -0.634   0.168   0.133   0.535
HORN POS   -43.777324566   170.105506475      960448.498   1.042   0.951   4.271
HORN VEL          33.437         -23.480           4.004   0.167   0.159   0.702
HOTK POS    37.658587729  -118.821253072     2143252.606   0.586   0.474   1.896
HOTK VEL          -3.930         -14.430           5.615   0.310   0.250   1.017
HOUS POS    29.779419014   -95.432993837       11822.757  10.177   9.748  40.407
HOUS VEL          -1.939         -13.437          -4.944   0.435   0.421   1.785
HPIG POS    43.713278258  -113.100131839     2640695.299   1.028   0.772   3.206
HPIG VEL          -9.782         -16.248          -0.683   0.171   0.128   0.535
HRAO POS   -25.890102463    27.686983238     1414154.825   0.418   0.412   1.735
HRAO VEL          18.526          17.509           0.872   0.067   0.066   0.277
HRM1 POS    51.453745744    -1.283886611      163009.125   1.552   1.129   4.582
HRM1 VEL          16.471          16.583          -0.360   0.114   0.082   0.338
HRM2 POS    51.453745728    -1.283886601      163009.425   3.086   2.256   8.900
HRM2 VEL          16.322          16.646          -0.338   0.263   0.192   0.757
HRMN POS    33.308311733    35.785451533     2091733.999   0.523   0.461   1.910
HRMN VEL          22.545          22.220           0.305   0.106   0.094   0.389
HRST POS    49.667445265   -83.511049206      228461.497   1.691   1.212   4.936
HRST VEL           0.877         -17.853           6.835   0.264   0.195   0.774
HTV1 POS    36.357709550   -86.089507690      167330.228   2.128   1.810   7.627
HTV1 VEL           0.397         -13.732          -0.388   0.131   0.111   0.466
HUA2 POS    10.017730837   -85.351693879      594214.338   0.878   1.047   3.772
HUA2 VEL          19.325          15.146          -9.872   0.717   0.853   3.063
HUEG POS    47.833950168     7.596170284      278305.479   1.019   0.761   2.961
